raw_id,packet_id,received_at,elapsed_seconds,rr_units,rr_original_ms,contact_detected,phase
1,1,2026-09-19T10:51:33.912066+00:00,1.3910000000032596,593,579.1015625,,calibration
2,2,2026-09-19T10:51:34.953115+00:00,2.437000000005355,625,610.3515625,,calibration
3,2,2026-09-19T10:51:34.953115+00:00,2.437000000005355,609,594.7265625,,calibration
4,3,2026-09-19T10:51:35.979651+00:00,3.4530000000086147,593,579.1015625,,calibration
5,3,2026-09-19T10:51:35.979651+00:00,3.4530000000086147,601,586.9140625,,calibration
6,4,2026-09-19T10:51:37.016137+00:00,4.5,601,586.9140625,,calibration
7,5,2026-09-19T10:51:37.914129+00:00,5.39100000000326,617,602.5390625,,calibration
8,5,2026-09-19T10:51:37.914129+00:00,5.39100000000326,609,594.7265625,,calibration
9,6,2026-09-19T10:51:38.949261+00:00,6.421999999991385,601,586.9140625,,calibration
10,7,2026-09-19T10:51:39.939638+00:00,7.421999999991385,601,586.9140625,,calibration
11,7,2026-09-19T10:51:39.939638+00:00,7.421999999991385,593,579.1015625,,calibration
12,8,2026-09-19T10:51:40.933901+00:00,8.40600000001723,609,594.7265625,,calibration
13,8,2026-09-19T10:51:40.933901+00:00,8.40600000001723,632,617.1875,,calibration
14,9,2026-09-19T10:51:41.964913+00:00,9.437000000005355,632,617.1875,,calibration
15,10,2026-09-19T10:51:42.956516+00:00,10.437000000005355,640,625.0,,calibration
16,10,2026-09-19T10:51:42.956516+00:00,10.437000000005355,625,610.3515625,,calibration
17,11,2026-09-19T10:51:43.990394+00:00,11.469000000011874,609,594.7265625,,calibration
18,11,2026-09-19T10:51:43.990394+00:00,11.469000000011874,625,610.3515625,,calibration
19,12,2026-09-19T10:51:44.934390+00:00,12.40600000001723,640,625.0,,calibration
20,13,2026-09-19T10:51:45.925395+00:00,13.40600000001723,640,625.0,,calibration
21,13,2026-09-19T10:51:45.925395+00:00,13.40600000001723,648,632.8125,,calibration
22,14,2026-09-19T10:51:46.915352+00:00,14.39100000000326,656,640.625,,calibration
23,15,2026-09-19T10:51:47.950247+00:00,15.421999999991385,632,617.1875,,calibration
24,15,2026-09-19T10:51:47.950247+00:00,15.421999999991385,617,602.5390625,,calibration
25,16,2026-09-19T10:51:48.939069+00:00,16.421999999991385,625,610.3515625,,calibration
26,17,2026-09-19T10:51:49.929893+00:00,17.40600000001723,648,632.8125,,calibration
27,17,2026-09-19T10:51:49.929893+00:00,17.40600000001723,632,617.1875,,calibration
28,18,2026-09-19T10:51:50.964654+00:00,18.437000000005355,648,632.8125,,calibration
29,19,2026-09-19T10:51:51.909835+00:00,19.39100000000326,625,610.3515625,,calibration
30,19,2026-09-19T10:51:51.909835+00:00,19.39100000000326,593,579.1015625,,calibration
31,20,2026-09-19T10:51:52.945015+00:00,20.421999999991385,593,579.1015625,,calibration
32,20,2026-09-19T10:51:52.945015+00:00,20.421999999991385,585,571.2890625,,calibration
33,21,2026-09-19T10:51:53.934088+00:00,21.40600000001723,578,564.453125,,calibration
34,21,2026-09-19T10:51:53.934088+00:00,21.40600000001723,601,586.9140625,,calibration
35,22,2026-09-19T10:51:54.924941+00:00,22.40600000001723,625,610.3515625,,calibration
36,23,2026-09-19T10:51:55.914823+00:00,23.39100000000326,625,610.3515625,,calibration
37,23,2026-09-19T10:51:55.914823+00:00,23.39100000000326,632,617.1875,,calibration
38,24,2026-09-19T10:51:56.948799+00:00,24.421999999991385,601,586.9140625,,calibration
39,25,2026-09-19T10:51:57.941083+00:00,25.421999999991385,585,571.2890625,,calibration
40,25,2026-09-19T10:51:57.941083+00:00,25.421999999991385,617,602.5390625,,calibration
41,26,2026-09-19T10:51:58.930244+00:00,26.40600000001723,625,610.3515625,,calibration
42,26,2026-09-19T10:51:58.930244+00:00,26.40600000001723,632,617.1875,,calibration
43,27,2026-09-19T10:51:59.965147+00:00,27.437000000005355,640,625.0,,calibration
44,28,2026-09-19T10:52:00.955482+00:00,28.437000000005355,617,602.5390625,,calibration
45,28,2026-09-19T10:52:00.955482+00:00,28.437000000005355,593,579.1015625,,calibration
46,29,2026-09-19T10:52:01.988938+00:00,29.469000000011874,617,602.5390625,,calibration
47,30,2026-09-19T10:52:02.979647+00:00,30.453000000008615,632,617.1875,,calibration
48,30,2026-09-19T10:52:02.979647+00:00,30.453000000008615,664,648.4375,,calibration
49,31,2026-09-19T10:52:04.059839+00:00,31.53100000001723,656,640.625,,calibration
50,31,2026-09-19T10:52:04.059839+00:00,31.53100000001723,625,610.3515625,,calibration
51,32,2026-09-19T10:52:05.004298+00:00,32.48399999999674,609,594.7265625,,calibration
52,33,2026-09-19T10:52:05.949358+00:00,33.421999999991385,625,610.3515625,,calibration
53,33,2026-09-19T10:52:05.949358+00:00,33.421999999991385,640,625.0,,calibration
54,34,2026-09-19T10:52:06.943475+00:00,34.421999999991385,679,663.0859375,,calibration
55,35,2026-09-19T10:52:07.930902+00:00,35.40600000001723,687,670.8984375,,calibration
56,35,2026-09-19T10:52:07.930902+00:00,35.40600000001723,648,632.8125,,calibration
57,36,2026-09-19T10:52:08.965267+00:00,36.437000000005355,679,663.0859375,,calibration
58,37,2026-09-19T10:52:09.955036+00:00,37.437000000005355,687,670.8984375,,calibration
59,37,2026-09-19T10:52:09.955036+00:00,37.437000000005355,679,663.0859375,,calibration
60,38,2026-09-19T10:52:10.944641+00:00,38.421999999991385,664,648.4375,,calibration
61,39,2026-09-19T10:52:11.935416+00:00,39.421999999991385,648,632.8125,,calibration
62,39,2026-09-19T10:52:11.935416+00:00,39.421999999991385,625,610.3515625,,calibration
63,40,2026-09-19T10:52:12.930326+00:00,40.40600000001723,617,602.5390625,,calibration
64,41,2026-09-19T10:52:13.914088+00:00,41.39100000000326,625,610.3515625,,calibration
65,41,2026-09-19T10:52:13.914088+00:00,41.39100000000326,648,632.8125,,calibration
66,42,2026-09-19T10:52:14.948902+00:00,42.421999999991385,656,640.625,,calibration
67,42,2026-09-19T10:52:14.948902+00:00,42.421999999991385,617,602.5390625,,calibration
68,43,2026-09-19T10:52:15.985087+00:00,43.469000000011874,601,586.9140625,,calibration
69,44,2026-09-19T10:52:16.933063+00:00,44.40600000001723,640,625.0,,calibration
70,44,2026-09-19T10:52:16.933063+00:00,44.40600000001723,671,655.2734375,,calibration
71,45,2026-09-19T10:52:17.920025+00:00,45.40600000001723,687,670.8984375,,calibration
72,46,2026-09-19T10:52:19.000042+00:00,46.48399999999674,671,655.2734375,,calibration
73,46,2026-09-19T10:52:19.000042+00:00,46.48399999999674,648,632.8125,,calibration
74,47,2026-09-19T10:52:19.999945+00:00,47.48399999999674,609,594.7265625,,calibration
75,47,2026-09-19T10:52:19.999945+00:00,47.48399999999674,617,602.5390625,,calibration
76,48,2026-09-19T10:52:20.950289+00:00,48.421999999991385,625,610.3515625,,calibration
77,49,2026-09-19T10:52:21.927161+00:00,49.40600000001723,632,617.1875,,calibration
78,49,2026-09-19T10:52:21.927161+00:00,49.40600000001723,632,617.1875,,calibration
79,50,2026-09-19T10:52:23.004148+00:00,50.48399999999674,617,602.5390625,,calibration
80,51,2026-09-19T10:52:24.039784+00:00,51.51600000000326,609,594.7265625,,calibration
81,51,2026-09-19T10:52:24.039784+00:00,51.51600000000326,640,625.0,,calibration
82,52,2026-09-19T10:52:24.940058+00:00,52.421999999991385,640,625.0,,calibration
83,52,2026-09-19T10:52:24.940058+00:00,52.421999999991385,656,640.625,,calibration
84,53,2026-09-19T10:52:25.975248+00:00,53.453000000008615,625,610.3515625,,calibration
85,54,2026-09-19T10:52:26.965086+00:00,54.437000000005355,632,617.1875,,calibration
86,54,2026-09-19T10:52:26.965086+00:00,54.437000000005355,632,617.1875,,calibration
87,55,2026-09-19T10:52:27.955854+00:00,55.437000000005355,609,594.7265625,,calibration
88,56,2026-09-19T10:52:28.945011+00:00,56.421999999991385,609,594.7265625,,calibration
89,56,2026-09-19T10:52:28.945011+00:00,56.421999999991385,640,625.0,,calibration
90,57,2026-09-19T10:52:29.936297+00:00,57.421999999991385,625,610.3515625,,calibration
91,57,2026-09-19T10:52:29.936297+00:00,57.421999999991385,617,602.5390625,,calibration
92,58,2026-09-19T10:52:30.928030+00:00,58.40600000001723,585,571.2890625,,calibration
93,59,2026-09-19T10:52:31.958957+00:00,59.437000000005355,601,586.9140625,,calibration
94,59,2026-09-19T10:52:31.958957+00:00,59.437000000005355,617,602.5390625,,calibration
95,60,2026-09-19T10:52:32.998606+00:00,60.48399999999674,585,571.2890625,,calibration
96,60,2026-09-19T10:52:32.998606+00:00,60.48399999999674,609,594.7265625,,calibration
97,64,2026-09-19T10:52:37.000145+00:00,64.48399999999674,570,556.640625,,calibration
98,65,2026-09-19T10:52:37.990217+00:00,65.46900000001187,539,526.3671875,,calibration
99,66,2026-09-19T10:52:38.938090+00:00,66.42199999999139,554,541.015625,,calibration
100,66,2026-09-19T10:52:38.938090+00:00,66.42199999999139,578,564.453125,,calibration
101,67,2026-09-19T10:52:40.063097+00:00,67.54699999999139,578,564.453125,,calibration
102,67,2026-09-19T10:52:40.063097+00:00,67.54699999999139,562,548.828125,,calibration
103,68,2026-09-19T10:52:40.958937+00:00,68.43700000000536,562,548.828125,,calibration
104,68,2026-09-19T10:52:40.958937+00:00,68.43700000000536,578,564.453125,,calibration
105,69,2026-09-19T10:52:41.951357+00:00,69.43700000000536,617,602.5390625,,calibration
106,70,2026-09-19T10:52:43.029129+00:00,70.51600000000326,640,625.0,,calibration
107,70,2026-09-19T10:52:43.029129+00:00,70.51600000000326,656,640.625,,calibration
108,71,2026-09-19T10:52:43.930075+00:00,71.40600000001723,656,640.625,,calibration
109,72,2026-09-19T10:52:44.920738+00:00,72.40600000001723,617,602.5390625,,calibration
110,72,2026-09-19T10:52:44.920738+00:00,72.40600000001723,585,571.2890625,,calibration
111,73,2026-09-19T10:52:45.955206+00:00,73.43700000000536,601,586.9140625,,calibration
112,73,2026-09-19T10:52:45.955206+00:00,73.43700000000536,625,610.3515625,,calibration
113,74,2026-09-19T10:52:47.034450+00:00,74.51600000000326,656,640.625,,calibration
114,75,2026-09-19T10:52:47.935740+00:00,75.42199999999139,656,640.625,,calibration
115,75,2026-09-19T10:52:47.935740+00:00,75.42199999999139,648,632.8125,,calibration
116,76,2026-09-19T10:52:49.041945+00:00,76.51600000000326,609,594.7265625,,calibration
117,77,2026-09-19T10:52:49.965935+00:00,77.43700000000536,617,602.5390625,,calibration
118,77,2026-09-19T10:52:49.965935+00:00,77.43700000000536,640,625.0,,calibration
119,78,2026-09-19T10:52:50.994653+00:00,78.46900000001187,664,648.4375,,calibration
120,79,2026-09-19T10:52:51.992161+00:00,79.46900000001187,679,663.0859375,,calibration
121,79,2026-09-19T10:52:51.992161+00:00,79.46900000001187,664,648.4375,,calibration
122,80,2026-09-19T10:52:53.065480+00:00,80.54699999999139,617,602.5390625,,calibration
123,81,2026-09-19T10:52:53.974568+00:00,81.45300000000861,617,602.5390625,,calibration
124,81,2026-09-19T10:52:53.974568+00:00,81.45300000000861,640,625.0,,calibration
125,82,2026-09-19T10:52:54.955328+00:00,82.43700000000536,640,625.0,,calibration
126,82,2026-09-19T10:52:54.955328+00:00,82.43700000000536,640,625.0,,calibration
127,83,2026-09-19T10:52:55.946590+00:00,83.42199999999139,632,617.1875,,calibration
128,84,2026-09-19T10:52:57.026823+00:00,84.5,609,594.7265625,,calibration
129,84,2026-09-19T10:52:57.026823+00:00,84.5,609,594.7265625,,calibration
130,85,2026-09-19T10:52:57.930798+00:00,85.40600000001723,617,602.5390625,,calibration
131,86,2026-09-19T10:52:59.001798+00:00,86.48399999999674,640,625.0,,calibration
132,86,2026-09-19T10:52:59.001798+00:00,86.48399999999674,648,632.8125,,calibration
133,87,2026-09-19T10:53:00.052312+00:00,87.53100000001723,632,617.1875,,calibration
134,88,2026-09-19T10:53:01.038877+00:00,88.51600000000326,648,632.8125,,calibration
135,88,2026-09-19T10:53:01.038877+00:00,88.51600000000326,656,640.625,,calibration
136,89,2026-09-19T10:53:01.935254+00:00,89.42199999999139,656,640.625,,calibration
137,89,2026-09-19T10:53:01.935254+00:00,89.42199999999139,601,586.9140625,,calibration
138,90,2026-09-19T10:53:02.923481+00:00,90.40600000001723,609,594.7265625,,calibration
139,91,2026-09-19T10:53:04.090565+00:00,91.56200000000536,632,617.1875,,calibration
140,91,2026-09-19T10:53:04.090565+00:00,91.56200000000536,632,617.1875,,calibration
141,92,2026-09-19T10:53:04.945439+00:00,92.42199999999139,656,640.625,,calibration
142,93,2026-09-19T10:53:05.938270+00:00,93.42199999999139,609,594.7265625,,calibration
143,93,2026-09-19T10:53:05.938270+00:00,93.42199999999139,601,586.9140625,,calibration
144,94,2026-09-19T10:53:06.930916+00:00,94.40600000001723,625,610.3515625,,calibration
145,94,2026-09-19T10:53:06.930916+00:00,94.40600000001723,632,617.1875,,calibration
146,95,2026-09-19T10:53:07.966661+00:00,95.45300000000861,632,617.1875,,calibration
147,96,2026-09-19T10:53:09.004626+00:00,96.48399999999674,609,594.7265625,,calibration
148,96,2026-09-19T10:53:09.004626+00:00,96.48399999999674,601,586.9140625,,calibration
149,97,2026-09-19T10:53:09.986675+00:00,97.46900000001187,625,610.3515625,,calibration
150,98,2026-09-19T10:53:11.102855+00:00,98.57800000000861,640,625.0,,calibration
151,98,2026-09-19T10:53:11.102855+00:00,98.57800000000861,632,617.1875,,calibration
152,99,2026-09-19T10:53:12.008997+00:00,99.48399999999674,625,610.3515625,,calibration
153,99,2026-09-19T10:53:12.008997+00:00,99.48399999999674,609,594.7265625,,calibration
154,100,2026-09-19T10:53:12.955114+00:00,100.43700000000536,601,586.9140625,,calibration
155,101,2026-09-19T10:53:13.946721+00:00,101.42199999999139,625,610.3515625,,calibration
156,101,2026-09-19T10:53:13.946721+00:00,101.42199999999139,609,594.7265625,,calibration
