window_idx,window_start,window_end,window_seconds,hrv_status,hrv_coverage,rmssd_ms,sdnn_ms,baseline_rmssd_ms,rmssd_ratio,eye_frames_count,on_screen_ratio,face_detected_ratio,mean_dwell_ms,max_dwell_ms,section_transitions,dominant_section,mean_iris_delta,mean_blink_rate_bpm,head_shifted_ratio,cognitive_state,cognitive_load_score,cognitive_state_desc
0,2026-09-19T13:29:39.389947+00:00,2026-09-19T13:30:04.389947+00:00,25.0,recovering,0.1518359375,,,92.19248873029753,,309,0.233,0.997,3034.0,11216.0,38,off_screen,0.0003,30.7,0.751,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
1,2026-09-19T13:29:44.389947+00:00,2026-09-19T13:30:09.389947+00:00,25.0,gap,0.3598046875,,,92.19248873029753,,284,0.38,0.996,734.5,2607.0,55,off_screen,0.0004,31.2,0.577,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
2,2026-09-19T13:29:49.389947+00:00,2026-09-19T13:30:14.389947+00:00,25.0,gap,0.20796875,,,92.19248873029753,,259,0.398,0.996,835.8,3504.0,51,off_screen,0.0003,30.2,0.471,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
3,2026-09-19T13:29:54.389947+00:00,2026-09-19T13:30:19.389947+00:00,25.0,recovering,0.20796875,,,92.19248873029753,,250,0.44,1.0,879.4,3504.0,54,off_screen,0.0002,29.5,0.468,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
4,2026-09-19T13:29:59.389947+00:00,2026-09-19T13:30:24.389947+00:00,25.0,gap,0.20796875,,,92.19248873029753,,249,0.578,1.0,723.5,3504.0,65,off_screen,0.0006,28.5,0.558,CONFUSED,26.6,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
5,2026-09-19T13:30:04.389947+00:00,2026-09-19T13:30:29.389947+00:00,25.0,gap,0.0606640625,,,92.19248873029753,,249,0.671,1.0,642.1,3504.0,81,off_screen,0.0009,27.5,0.478,CONFUSED,26.4,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
6,2026-09-19T13:30:09.389947+00:00,2026-09-19T13:30:34.389947+00:00,25.0,gap,0.0,,,92.19248873029753,,249,0.655,1.0,632.4,3504.0,83,off_screen,0.0009,26.9,0.466,CONFUSED,26.4,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
7,2026-09-19T13:30:14.389947+00:00,2026-09-19T13:30:39.389947+00:00,25.0,insufficient_data,0.178984375,,,92.19248873029753,,252,0.623,0.996,388.9,1694.0,81,off_screen,0.0005,25.7,0.464,CONFUSED,25.7,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
8,2026-09-19T13:30:19.389947+00:00,2026-09-19T13:30:44.389947+00:00,25.0,gap,0.178984375,,,92.19248873029753,,273,0.451,0.996,759.4,3218.0,66,off_screen,0.0002,21.1,0.278,CONFUSED,26.7,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
