raw_id,packet_id,received_at,elapsed_seconds,rr_units,rr_original_ms,contact_detected,phase
1,1,2026-09-19T13:22:18.278119+00:00,1.4059999999990396,640,625.0,,calibration
2,1,2026-09-19T13:22:18.278119+00:00,1.4059999999990396,640,625.0,,calibration
3,2,2026-09-19T13:22:19.223886+00:00,2.3590000000003783,632,617.1875,,calibration
4,3,2026-09-19T13:22:20.257460+00:00,3.389999999999418,687,670.8984375,,calibration
5,3,2026-09-19T13:22:20.257460+00:00,3.389999999999418,640,625.0,,calibration
6,4,2026-09-19T13:22:21.427739+00:00,4.561999999998079,664,648.4375,,calibration
7,5,2026-09-19T13:22:22.238505+00:00,5.375,664,648.4375,,calibration
8,5,2026-09-19T13:22:22.238505+00:00,5.375,687,670.8984375,,calibration
