phase,window_start,window_end,window_seconds,rr_count,rr_pairs,rmssd_ms,sdnn_ms,status,reason,accepted_rr_seconds,coverage,data_age_seconds
baseline,2026-09-19T09:55:56.991117+00:00,2026-09-19T09:58:30.038117+00:00,153.04699999999139,149,142,62.24389054678692,74.06691025212056,ready,target_reached,120.1533203125,0.7850746523127324,0.15492187498603016
task,2026-09-19T09:58:30.038117+00:00,2026-09-19T09:58:55.038117+00:00,25,28,26,119.52008578338545,112.49245198363923,ready,,22.5859375,0.9034375,0.07899999999790452
task,2026-09-19T09:58:35.038117+00:00,2026-09-19T09:59:00.038117+00:00,25,28,26,115.21511588368601,107.16952306607733,ready,,21.47984375001397,0.8591937500005588,1.4422812499979045
task,2026-09-19T09:58:40.038117+00:00,2026-09-19T09:59:05.038117+00:00,25,26,23,114.67728011483877,91.65685285484882,ready,,20.04820312501397,0.8019281250005588,0.14100000000325963
task,2026-09-19T09:58:45.038117+00:00,2026-09-19T09:59:10.038117+00:00,25,26,23,,,insufficient_data,insufficient_coverage,19.85875000001397,0.7943500000005588,0.33045312500325963
task,2026-09-19T09:58:50.038117+00:00,2026-09-19T09:59:15.038117+00:00,25,26,24,,,insufficient_data,insufficient_coverage,19.984375,0.799375,0.8617031250032596
task,2026-09-19T09:58:55.038117+00:00,2026-09-19T09:59:20.038117+00:00,25,27,25,54.14737455672915,102.8004311815839,ready,,22.102640625002095,0.8841056250000838,0.16443750000325963
task,2026-09-19T09:59:00.038117+00:00,2026-09-19T09:59:25.038117+00:00,25,27,25,53.48995734817308,90.70816129439567,ready,,22.005960937502095,0.8802384375000838,0.26111718750325963
task,2026-09-19T09:59:05.038117+00:00,2026-09-19T09:59:30.038117+00:00,25,30,29,54.23856730725138,91.40825150428344,ready,,24.32091406249674,0.9728365624998696,0.6790859375032596
task,2026-09-19T09:59:10.038117+00:00,2026-09-19T09:59:35.038117+00:00,25,31,30,49.0087803869166,97.41132971671884,ready,,24.35314062499674,0.9741256249998697,0.6468593750032596
task,2026-09-19T09:59:15.038117+00:00,2026-09-19T09:59:40.038117+00:00,25,32,31,44.31721274425555,98.33746777479769,ready,,24.27892187499674,0.9711568749998696,0.7210781250032596
task,2026-09-19T09:59:20.038117+00:00,2026-09-19T09:59:45.038117+00:00,25,32,31,36.61951861531895,62.639112395813584,ready,,24.19689062499674,0.9678756249998696,0.8031093750032596
task,2026-09-19T09:59:25.038117+00:00,2026-09-19T09:59:50.038117+00:00,25,32,31,38.4116808045544,68.36240559553428,ready,,24.24571874999674,0.9698287499998696,0.7542812500032596
task,2026-09-19T09:59:30.038117+00:00,2026-09-19T09:59:55.038117+00:00,25,32,31,51.06277615279,69.70862715220174,ready,,23.85899999999674,0.9543599999998696,1.1410000000032596
task,2026-09-19T09:59:35.038117+00:00,2026-09-19T10:00:00.038117+00:00,25,29,28,,,insufficient_data,stale_or_missing_data,21.99278906249674,0.8797115624998696,3.0072109375032596
task,2026-09-19T09:59:40.038117+00:00,2026-09-19T10:00:05.038117+00:00,25,23,21,,,gap,rr_gap;insufficient_coverage;stale_or_missing_data,17.78575781249674,0.7114303124998697,4.10999999998603
