raw_id,packet_id,received_at,elapsed_seconds,rr_units,rr_original_ms,contact_detected,phase
1,1,2026-09-19T09:55:57.881117+00:00,0.889999999984866,859,838.8671875,,calibration
2,2,2026-09-19T09:55:58.914738+00:00,1.9219999999913853,898,876.953125,,calibration
3,3,2026-09-19T09:55:59.904504+00:00,2.9219999999913853,867,846.6796875,,calibration
4,5,2026-09-19T09:56:01.929826+00:00,4.937000000005355,820,800.78125,,calibration
5,6,2026-09-19T09:56:02.918551+00:00,5.921999999991385,843,823.2421875,,calibration
6,7,2026-09-19T09:56:03.908940+00:00,6.921999999991385,734,716.796875,,calibration
7,7,2026-09-19T09:56:03.908940+00:00,6.921999999991385,765,747.0703125,,calibration
8,8,2026-09-19T09:56:04.899365+00:00,7.905999999988126,726,708.984375,,calibration
9,9,2026-09-19T09:56:05.889339+00:00,8.905999999988126,750,732.421875,,calibration
10,10,2026-09-19T09:56:06.968549+00:00,9.98399999999674,804,785.15625,,calibration
11,11,2026-09-19T09:56:07.913601+00:00,10.921999999991385,804,785.15625,,calibration
12,11,2026-09-19T09:56:07.913601+00:00,10.921999999991385,765,747.0703125,,calibration
13,12,2026-09-19T09:56:08.904620+00:00,11.921999999991385,781,762.6953125,,calibration
14,13,2026-09-19T09:56:09.893389+00:00,12.905999999988126,773,754.8828125,,calibration
15,14,2026-09-19T09:56:10.884481+00:00,13.889999999984866,789,770.5078125,,calibration
16,14,2026-09-19T09:56:10.884481+00:00,13.889999999984866,789,770.5078125,,calibration
17,15,2026-09-19T09:56:11.919406+00:00,14.921999999991385,750,732.421875,,calibration
18,16,2026-09-19T09:56:12.908265+00:00,15.921999999991385,781,762.6953125,,calibration
19,17,2026-09-19T09:56:13.943450+00:00,16.95299999997951,781,762.6953125,,calibration
20,18,2026-09-19T09:56:14.889170+00:00,17.905999999988126,781,762.6953125,,calibration
21,18,2026-09-19T09:56:14.889170+00:00,17.905999999988126,828,808.59375,,calibration
22,19,2026-09-19T09:56:15.968526+00:00,18.98399999999674,906,884.765625,,calibration
23,20,2026-09-19T09:56:17.004220+00:00,20.014999999984866,960,937.5,,calibration
24,21,2026-09-19T09:56:17.903150+00:00,20.905999999988126,929,907.2265625,,calibration
25,22,2026-09-19T09:56:18.893645+00:00,21.905999999988126,875,854.4921875,,calibration
26,23,2026-09-19T09:56:19.884868+00:00,22.889999999984866,914,892.578125,,calibration
27,24,2026-09-19T09:56:20.919203+00:00,23.921999999991385,828,808.59375,,calibration
28,25,2026-09-19T09:56:21.908990+00:00,24.921999999991385,812,792.96875,,calibration
29,25,2026-09-19T09:56:21.908990+00:00,24.921999999991385,718,701.171875,,calibration
30,26,2026-09-19T09:56:22.899404+00:00,25.905999999988126,750,732.421875,,calibration
31,27,2026-09-19T09:56:23.892085+00:00,26.905999999988126,726,708.984375,,calibration
32,28,2026-09-19T09:56:24.969886+00:00,27.98399999999674,765,747.0703125,,calibration
33,28,2026-09-19T09:56:24.969886+00:00,27.98399999999674,750,732.421875,,calibration
