window_idx,window_start,window_end,window_seconds,hrv_status,hrv_coverage,rmssd_ms,sdnn_ms,baseline_rmssd_ms,rmssd_ratio,eye_frames_count,on_screen_ratio,face_detected_ratio,mean_dwell_ms,max_dwell_ms,section_transitions,dominant_section,mean_iris_delta,mean_blink_rate_bpm,head_shifted_ratio,cognitive_state,cognitive_load_score,cognitive_state_desc
0,2026-09-19T13:00:07.236061+00:00,2026-09-19T13:00:32.236061+00:00,25.0,ready,0.9771484375,34.84243986349515,43.181245021565594,46.40030052576318,0.751,374,0.441,1.0,465.7,1934.0,45,off_screen,-0.0008,6.0,0.118,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
1,2026-09-19T13:00:12.236061+00:00,2026-09-19T13:00:37.236061+00:00,25.0,ready,0.9552834374998929,39.075925427276154,54.5342567499452,46.40030052576318,0.842,374,0.401,1.0,425.2,1934.0,54,off_screen,-0.0009,6.4,0.254,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
2,2026-09-19T13:00:17.236061+00:00,2026-09-19T13:00:42.236061+00:00,25.0,ready,0.9211428124998929,38.75103126995176,63.99276062824154,46.40030052576318,0.835,374,0.342,0.981,426.4,1872.0,55,off_screen,-0.0011,7.5,0.412,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
3,2026-09-19T13:00:22.236061+00:00,2026-09-19T13:00:47.236061+00:00,25.0,ready,0.8373146874998929,38.60819804838046,58.467675485462784,46.40030052576318,0.832,374,0.38,0.981,591.5,3007.0,59,off_screen,-0.0012,8.7,0.607,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
4,2026-09-19T13:00:27.236061+00:00,2026-09-19T13:00:52.236061+00:00,25.0,ready,0.8855959374998928,39.440829723101054,55.44418260019566,46.40030052576318,0.85,374,0.283,0.981,753.9,3007.0,52,off_screen,-0.0014,9.7,0.751,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
5,2026-09-19T13:00:32.236061+00:00,2026-09-19T13:00:57.236061+00:00,25.0,ready,0.8734474999998929,35.64948983135273,45.55156811283272,46.40030052576318,0.768,374,0.254,0.981,956.0,3616.0,45,off_screen,-0.0012,10.6,0.743,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
6,2026-09-19T13:00:37.236061+00:00,2026-09-19T13:01:02.236061+00:00,25.0,ready,0.909140625,40.23038616400758,96.69800360400241,46.40030052576318,0.867,374,0.179,0.981,1054.3,3616.0,35,off_screen,-0.001,11.0,0.607,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
7,2026-09-19T13:00:42.236061+00:00,2026-09-19T13:01:07.236061+00:00,25.0,ready,0.937494999999908,47.012804708496645,94.08311216775488,46.40030052576318,1.013,374,0.321,1.0,995.3,3616.0,41,off_screen,-0.0009,10.4,0.452,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
8,2026-09-19T13:00:47.236061+00:00,2026-09-19T13:01:12.236061+00:00,25.0,ready,0.9519631249998929,48.3512479642745,100.01249560400677,46.40030052576318,1.042,374,0.39,1.0,866.7,3616.0,43,off_screen,-0.0007,9.4,0.257,DISTRACTED,20.0,Pandangan dominan keluar layar / tidak menatap editor
9,2026-09-19T13:00:52.236061+00:00,2026-09-19T13:01:17.236061+00:00,25.0,gap,0.7519631249998929,,,46.40030052576318,,374,0.489,1.0,724.0,3616.0,54,off_screen,-0.0005,8.6,0.112,CONFUSED,26.6,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
10,2026-09-19T13:00:57.236061+00:00,2026-09-19T13:01:22.236061+00:00,25.0,gap,0.5519631249998929,,,46.40030052576318,,374,0.607,1.0,495.9,2543.0,64,off_screen,-0.0006,8.1,0.027,CONFUSED,26.0,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
11,2026-09-19T13:01:02.236061+00:00,2026-09-19T13:01:27.236061+00:00,25.0,insufficient_data,0.4910256249998929,,,46.40030052576318,,374,0.767,1.0,347.9,1868.0,83,terminal,-0.0008,7.7,0.027,CONFUSED,25.6,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
12,2026-09-19T13:01:07.236061+00:00,2026-09-19T13:01:32.236061+00:00,25.0,insufficient_data,0.4752443749998929,,,46.40030052576318,,374,0.794,1.0,317.8,1868.0,89,terminal,-0.001,7.6,0.0,CONFUSED,25.5,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
13,2026-09-19T13:01:12.236061+00:00,2026-09-19T13:01:37.236061+00:00,25.0,insufficient_data,0.529765625,,,46.40030052576318,,374,0.832,1.0,265.4,1868.0,96,terminal,-0.0012,7.5,0.0,CONFUSED,25.4,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
14,2026-09-19T13:01:17.236061+00:00,2026-09-19T13:01:42.236061+00:00,25.0,insufficient_data,0.7347265625,,,46.40030052576318,,374,0.89,1.0,254.1,1344.0,94,ai_agent,-0.0013,6.5,0.0,CONFUSED,25.4,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
15,2026-09-19T13:01:22.236061+00:00,2026-09-19T13:01:47.236061+00:00,25.0,ready,0.9140234375,25.123798297339846,29.2582420570488,46.40030052576318,0.541,375,0.872,1.0,292.3,1344.0,88,ai_agent,-0.0014,5.3,0.0,OVERLOADED,42.0,Penurunan HRV tajam (<70% baseline) disertai beban kognitif tinggi / kelelahan mental
