phase,window_start,window_end,window_seconds,rr_count,rr_pairs,rmssd_ms,sdnn_ms,status,reason,accepted_rr_seconds,coverage,data_age_seconds
baseline,2026-09-19T12:57:49.627061+00:00,2026-09-19T13:00:07.236061+00:00,137.60900000000038,159,154,46.40030052576318,73.06435088986574,ready,target_reached,121.0166015625,0.8794235955678746,0.08055468750171713
task,2026-09-19T13:00:07.236061+00:00,2026-09-19T13:00:32.236061+00:00,25,31,30,34.84243986349515,43.181245021565594,ready,,24.4287109375,0.9771484375,0.36498437500267755
task,2026-09-19T13:00:12.236061+00:00,2026-09-19T13:00:37.236061+00:00,25,31,30,39.075925427276154,54.5342567499452,ready,,23.882085937497322,0.9552834374998929,1.1179140625026776
task,2026-09-19T13:00:17.236061+00:00,2026-09-19T13:00:42.236061+00:00,25,31,29,38.75103126995176,63.99276062824154,ready,,23.028570312497322,0.9211428124998929,0.3302031250022992
task,2026-09-19T13:00:22.236061+00:00,2026-09-19T13:00:47.236061+00:00,25,29,27,38.60819804838046,58.467675485462784,ready,,20.932867187497322,0.8373146874998929,2.425906250002299
task,2026-09-19T13:00:27.236061+00:00,2026-09-19T13:00:52.236061+00:00,25,31,28,39.440829723101054,55.44418260019566,ready,,22.139898437497322,0.8855959374998928,0.37865625000267755
task,2026-09-19T13:00:32.236061+00:00,2026-09-19T13:00:57.236061+00:00,25,32,29,35.64948983135273,45.55156811283272,ready,,21.836187499997322,0.8734474999998929,0.6823671875026776
task,2026-09-19T13:00:37.236061+00:00,2026-09-19T13:01:02.236061+00:00,25,31,29,40.23038616400758,96.69800360400241,ready,,22.728515625,0.909140625,0.25267968750267755
task,2026-09-19T13:00:42.236061+00:00,2026-09-19T13:01:07.236061+00:00,25,32,30,47.012804708496645,94.08311216775488,ready,,23.4373749999977,0.937494999999908,0.7224062500026776
task,2026-09-19T13:00:47.236061+00:00,2026-09-19T13:01:12.236061+00:00,25,33,32,48.3512479642745,100.01249560400677,ready,,23.799078124997322,0.9519631249998929,1.2009218750026776
task,2026-09-19T13:00:52.236061+00:00,2026-09-19T13:01:17.236061+00:00,25,26,25,,,gap,rr_gap;insufficient_coverage;stale_or_missing_data,18.799078124997322,0.7519631249998929,6.2009218750026776
task,2026-09-19T13:00:57.236061+00:00,2026-09-19T13:01:22.236061+00:00,25,19,18,,,gap,rr_gap;insufficient_coverage;stale_or_missing_data,13.799078124997322,0.5519631249998929,11.200921875002678
task,2026-09-19T13:01:02.236061+00:00,2026-09-19T13:01:27.236061+00:00,25,18,16,,,insufficient_data,insufficient_coverage,12.275640624997322,0.4910256249998929,0.062000000001717126
task,2026-09-19T13:01:07.236061+00:00,2026-09-19T13:01:32.236061+00:00,25,17,15,,,insufficient_data,insufficient_coverage,11.881109374997322,0.4752443749998929,0.4565312500017171
task,2026-09-19T13:01:12.236061+00:00,2026-09-19T13:01:37.236061+00:00,25,18,17,,,insufficient_data,insufficient_coverage,13.244140625,0.529765625,0.2944218750017171
task,2026-09-19T13:01:17.236061+00:00,2026-09-19T13:01:42.236061+00:00,25,25,24,,,insufficient_data,insufficient_coverage,18.3681640625,0.7347265625,0.17039843750171713
task,2026-09-19T13:01:22.236061+00:00,2026-09-19T13:01:47.236061+00:00,25,31,30,25.123798297339846,29.2582420570488,ready,,22.8505859375,0.9140234375,0.6879765625017171
task,2026-09-19T13:01:27.236061+00:00,2026-09-19T13:01:52.236061+00:00,25,33,32,30.435436327648496,29.342554104539094,ready,,24.442882812498283,0.9777153124999313,0.5571171875017171
