raw_id,packet_id,received_at,elapsed_seconds,rr_units,rr_original_ms,contact_detected,phase
1,1,2026-09-19T12:38:26.963332+00:00,1.514999999999418,765,747.0703125,,calibration
2,1,2026-09-19T12:38:26.963332+00:00,1.514999999999418,789,770.5078125,,calibration
3,2,2026-09-19T12:38:27.953333+00:00,2.5,757,739.2578125,,calibration
4,3,2026-09-19T12:38:28.943309+00:00,3.5,750,732.421875,,calibration
5,4,2026-09-19T12:38:29.932525+00:00,4.484000000000378,789,770.5078125,,calibration
6,4,2026-09-19T12:38:29.932525+00:00,4.484000000000378,781,762.6953125,,calibration
7,5,2026-09-19T12:38:30.968126+00:00,5.514999999999418,742,724.609375,,calibration
8,6,2026-09-19T12:38:31.958348+00:00,6.514999999999418,789,770.5078125,,calibration
9,15,2026-09-19T12:38:40.959094+00:00,15.514999999999418,578,564.453125,,calibration
10,15,2026-09-19T12:38:40.959094+00:00,15.514999999999418,671,655.2734375,,calibration
11,15,2026-09-19T12:38:40.959094+00:00,15.514999999999418,703,686.5234375,,calibration
12,15,2026-09-19T12:38:40.959094+00:00,15.514999999999418,710,693.359375,,calibration
13,15,2026-09-19T12:38:40.959094+00:00,15.514999999999418,765,747.0703125,,calibration
14,16,2026-09-19T12:38:41.947898+00:00,16.5,750,732.421875,,calibration
15,17,2026-09-19T12:38:43.027879+00:00,17.57800000000134,765,747.0703125,,calibration
16,18,2026-09-19T12:38:43.973027+00:00,18.531000000002678,835,815.4296875,,calibration
17,19,2026-09-19T12:38:44.962655+00:00,19.514999999999418,898,876.953125,,calibration
18,20,2026-09-19T12:38:45.952551+00:00,20.5,898,876.953125,,calibration
19,20,2026-09-19T12:38:45.952551+00:00,20.5,851,831.0546875,,calibration
20,21,2026-09-19T12:38:46.943049+00:00,21.5,820,800.78125,,calibration
21,22,2026-09-19T12:38:47.932954+00:00,22.48400000000038,867,846.6796875,,calibration
22,23,2026-09-19T12:38:48.967771+00:00,23.514999999999418,937,915.0390625,,calibration
23,24,2026-09-19T12:38:49.954766+00:00,24.5,906,884.765625,,calibration
