phase,window_start,window_end,window_seconds,hrv_status,hrv_reason,rr_count,rr_pairs,rmssd_ms,sdnn_ms,lf_power,z_score,eye_frame_count,eye_face_detected_ratio,eye_on_screen_ratio,eye_mean_confidence,eye_mean_gaze_x,eye_mean_gaze_y,eye_blink_count_max,eye_mean_fps,eye_mean_transition_rate
task,2026-09-19T10:07:19.740502+00:00,2026-09-19T10:07:49.740502+00:00,30.00,ready,,41,40,,,0.0002,-0.0843,372,1.0,0.8602150537634409,0.5127125275171098,1721.1697402972745,655.6976478004825,0,31.2434060399765,0.8424731182795698
task,2026-09-19T10:07:20.730315+00:00,2026-09-19T10:07:50.730315+00:00,30.00,ready,,42,41,,,0.0006,0.9849,402,1.0,0.8706467661691543,0.5136777520799165,1642.6814128461335,702.483416752471,0,31.184866992303533,0.8393034825870647
task,2026-09-19T10:07:21.764390+00:00,2026-09-19T10:07:51.764390+00:00,30.00,ready,,43,42,,,0.0007,1.1739,433,1.0,0.8799076212471132,0.5121952503056338,1644.7170689841587,742.8185429918858,0,31.124598086683093,0.8424942263279446
task,2026-09-19T10:07:22.800001+00:00,2026-09-19T10:07:52.800001+00:00,30.00,ready,,44,43,,,0.0007,1.1510,464,1.0,0.8879310344827587,0.5110431744687082,1638.837211632635,780.222959489041,0,31.07521691702418,0.830603448275862
task,2026-09-19T10:07:23.744476+00:00,2026-09-19T10:07:53.744476+00:00,30.00,ready,,45,44,,,0.0007,1.0303,492,1.0,0.8943089430894309,0.5102078024122284,1628.6655230582824,801.2675877001423,0,31.03616253682452,0.8121951219512196
task,2026-09-19T10:07:24.735506+00:00,2026-09-19T10:07:54.735506+00:00,30.00,ready,,46,45,,,0.0007,1.0584,522,1.0,0.9003831417624522,0.5061419101877901,1620.242031700428,804.655710397506,0,31.0008355312249,0.8026819923371648
task,2026-09-19T10:07:24.738125+00:00,2026-09-19T10:07:54.738125+00:00,30.00,ready,,47,46,,,0.0007,1.0911,522,1.0,0.9003831417624522,0.5061419101877901,1620.242031700428,804.655710397506,0,31.0008355312249,0.8026819923371648
task,2026-09-19T10:07:25.770211+00:00,2026-09-19T10:07:55.770211+00:00,30.00,ready,,48,47,,,0.0007,1.2027,553,1.0,0.9059674502712477,0.49814902762573654,1644.0884762388696,806.775171407557,0,30.96488626798086,0.8151898734177215
task,2026-09-19T10:07:26.759994+00:00,2026-09-19T10:07:56.759994+00:00,30.00,ready,,49,48,,,0.0007,1.1686,583,1.0,0.9108061749571184,0.494977961683337,1667.0302726545517,813.754288289475,0,30.936287623732525,0.816123499142367
task,2026-09-19T10:07:27.749449+00:00,2026-09-19T10:07:57.749449+00:00,30.00,ready,,50,49,,,0.0007,1.1460,613,1.0,0.9151712887438825,0.4749561592206433,1678.8870794389109,837.696040426607,0,30.908270643906704,0.8247960848287113
task,2026-09-19T10:07:28.739186+00:00,2026-09-19T10:07:58.739186+00:00,30.00,ready,,51,50,,,0.0007,1.1276,642,1.0,0.9190031152647975,0.4659214343574139,1690.4126585195095,860.3410629341308,0,30.886124861267064,0.8283489096573208
task,2026-09-19T10:07:29.775110+00:00,2026-09-19T10:07:59.775110+00:00,30.00,ready,,52,51,,,0.0007,1.0688,673,1.0,0.9227340267459139,0.46684081233424624,1711.6365076199688,891.2547217600797,0,30.86232225221163,0.826151560178306
task,2026-09-19T10:07:30.764888+00:00,2026-09-19T10:08:00.764888+00:00,30.00,ready,,53,52,,,0.0009,1.7368,703,1.0,0.9260312944523471,0.46173319214415737,1702.8983869766118,901.6637197034719,0,30.844197628150788,0.8187766714082504
task,2026-09-19T10:07:31.754394+00:00,2026-09-19T10:08:01.754394+00:00,30.00,ready,,54,53,,,0.0010,1.8113,733,1.0,0.91268758526603,0.45363360024126725,1654.924787554889,879.6516500507237,0,30.8248228626807,0.8297407912687585
task,2026-09-19T10:07:32.834134+00:00,2026-09-19T10:08:02.834134+00:00,30.00,ready,,55,54,,,0.0010,1.8238,765,1.0,0.9124183006535947,0.4542436843478831,1600.642655929181,864.4833997323057,0,30.808653044158703,0.8533333333333333
task,2026-09-19T10:07:33.734110+00:00,2026-09-19T10:08:03.734110+00:00,30.00,ready,,56,55,,,0.0010,1.7965,792,1.0,0.9103535353535354,0.45073926222043137,1558.4054393541348,854.0224369138831,0,30.792941277050165,0.872979797979798
task,2026-09-19T10:07:34.769027+00:00,2026-09-19T10:08:04.769027+00:00,30.00,ready,,57,56,,,0.0008,1.4987,823,1.0,0.9003645200486027,0.4426145587614534,1507.8976998764158,842.5392783055654,0,30.77857945085115,0.9098420413122721
task,2026-09-19T10:07:35.759024+00:00,2026-09-19T10:08:05.759024+00:00,30.00,ready,,58,57,,,0.0008,1.2910,853,1.0,0.902696365767878,0.43352021647860195,1485.382716631204,833.9127554361014,0,30.763849782216003,0.9467760844079719
task,2026-09-19T10:07:36.749766+00:00,2026-09-19T10:08:06.749766+00:00,30.00,ready,,59,58,,,0.0006,0.9894,883,1.0,0.9060022650056625,0.43097509222671165,1472.2579090376216,833.1461664524672,0,30.751323910894076,0.9664779161947905
task,2026-09-19T10:07:37.738931+00:00,2026-09-19T10:08:07.738931+00:00,30.00,ready,,60,59,,,0.0006,0.8905,900,1.0,0.9077777777777778,0.4219132276714826,1456.5988836193537,836.226091601096,0,30.51546660983108,0.9815555555555555
task,2026-09-19T10:07:38.821164+00:00,2026-09-19T10:08:08.821164+00:00,30.00,ready,,61,60,,,0.0004,0.4262,901,1.0,0.9001109877913429,0.40587740386954085,1448.067106589105,842.3283526988077,0,30.400766640415437,1.0339622641509434
task,2026-09-19T10:07:39.764723+00:00,2026-09-19T10:08:09.764723+00:00,30.00,ready,,62,61,,,0.0004,0.3497,900,1.0,0.9022222222222223,0.3969587983131973,1441.345224394734,854.9963666504216,0,30.396201129619758,1.1062222222222222
task,2026-09-19T10:07:39.766614+00:00,2026-09-19T10:08:09.766614+00:00,30.00,ready,,63,62,,,0.0004,0.3307,900,1.0,0.9022222222222223,0.3969587983131973,1441.345224394734,854.9963666504216,0,30.396201129619758,1.1062222222222222
