timestamp_ms,frame_index,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,face_detected,calibration_quality
1787900731606,1,2387.743139175967,994.3791977912624,2387.743139175967,994.3791977912624,1,2,second_file,0.2644432068954101,0,0,0.2,0.0,0.021416371991206974,True,0.0
1787900731793,2,2399.8772984359543,987.2384805969183,2391.383386953963,992.2369826329591,1,2,second_file,0.2574577009309309,187,0,0.2,0.0,0.04266333728238971,True,0.0
1787900731922,3,1713.5252470497057,1019.1200380408001,2188.025944982686,1000.3018992553114,1,2,second_file,0.6823572201027341,315,0,0.2,0.0,0.06381935831430752,True,0.0
1787900732051,4,697.0434262421418,974.4460902471786,1740.7311893605224,992.5451565528715,1,1,main_file,0.20588800260821127,0,0,0.4,0.0,0.08485930678026388,True,0.0
1787900732180,5,1388.286222349093,821.9678064123862,1634.9976992570935,941.3719515107259,1,1,main_file,0.4969092122762153,128,0,0.4,0.0,0.10578337270674663,True,0.0
1787900732312,6,1957.1133946196908,824.1980508821583,1731.6324078658727,906.2197813221555,1,1,main_file,0.26380944854780985,260,0,0.4,0.0,0.12658961279540096,True,0.0
1787900732439,7,2251.75807778282,812.6987218057502,1887.6701088409568,878.1634634672339,1,2,second_file,0.43115924835810004,0,1,0.6,0.0,0.14728773083601587,True,0.0
1787900732571,8,1310.638478804651,2348.2429990749133,1714.560619830065,1319.1873241495377,2,1,terminal,0.3070596432461066,0,0,0.8,0.0,0.1678642452890382,True,0.0
1787900732699,9,675.5293019968072,1200.9530087151338,1402.8512244800877,1283.7170295192166,2,1,terminal,0.8689446518549411,127,0,0.8,0.0,0.18833125902579717,True,0.0
1787900732832,10,1377.0893778921663,1018.2313094798136,1395.122670503711,1204.0713135073956,2,1,terminal,0.6862612066331011,260,0,0.8,0.0,0.20868990129767698,True,0.0
1787900732964,11,1099.1983681386105,1041.6201642275942,1306.3453797941809,1155.3359687234552,2,1,terminal,0.46475229462568857,392,0,0.8,0.0,0.22893015721807827,True,0.0
1787900733092,12,1679.4973835197568,1082.3967841448296,1418.2909809118535,1133.4542133498674,2,1,terminal,0.5260176125722348,520,0,0.8,0.0,0.2490846217176041,True,0.0
1787900733217,13,1401.3866682951464,1188.9439509752212,1413.219687126841,1150.1011346374735,2,1,terminal,0.5659143636513824,645,0,0.8,0.0,0.2691310469698059,True,0.0
1787900733347,14,1158.2271975420606,1325.0232158055244,1336.7219402514067,1202.5777589878887,2,1,terminal,0.6053303940338816,775,0,0.8,0.0,0.2890583180687381,True,0.0
