timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality
1787915322042,1,3477,2694.0387622712205,1794.1706384171437,2694.0387622712205,1794.1706384171437,2,2,terminal,0.2651973388971284,0,0,0.2,0.0,0.0,29.938201517944417,23.301299996091984,0.4600999964168295,10.952999989967793,0.2173000102629885,11.66090001061093,0,True,on_screen,0.7519578289968591
1787915322054,2,3478,2696.398876847698,1794.0412570359565,2694.7467966441636,1794.1318240027874,2,2,terminal,0.2643609536163112,11,0,0.2,0.0,83.41883756780709,29.935402465597964,1.8188000103691593,0.441100011812523,9.825700006331317,0.24920000578276813,10.532499989494681,0,True,on_screen,0.7519578289968591
1787915322083,3,3479,2686.606183978448,1792.9650412601286,2692.3046128444485,1793.7817891799896,2,2,terminal,0.26784712318326587,40,0,0.2,0.0,78.55949063126093,29.93715455522679,0.09249999129679054,0.23389999114442617,8.06370000645984,0.10970000585075468,8.420700003625825,0,True,on_screen,0.7519578289968591
1787915322116,4,3480,2308.496341008511,1677.417633499808,2577.1621312936672,1758.872542475935,2,2,terminal,0.44581544757969815,73,0,0.2,0.0,73.75464759409958,29.934629298459704,0.10689999908208847,0.26309999520890415,18.397299994830973,0.17999998817685992,18.855600006645545,0,True,on_screen,0.7519578289968591
1787915322148,5,3481,1320.2086368129542,1349.145658791335,2200.0760829494534,1635.954477370555,2,2,terminal,0.5728721749641031,105,0,0.2,0.0,69.48720526229958,29.936440293283034,0.17269999079871923,0.39110000943765044,12.50110000546556,0.14350000128615648,13.051800007815473,0,True,on_screen,0.7519578289968591
1787915322179,6,3482,919.6364472086282,1090.7066687240317,1815.9441922272058,1472.380134776598,2,1,terminal,0.33404323231122723,136,0,0.2,0.0,65.74413694178774,29.938151519080623,0.11989999620709568,0.2443999983370304,8.25260000419803,0.10470001143403351,8.61250000889413,0,True,on_screen,0.7519578289968591
1787915322211,7,3483,850.4634713788612,848.3386092481106,1526.2999759727022,1285.1676771180519,2,1,terminal,0.5909855760178941,168,0,0.2,0.0,62.302466998485805,29.938689766637193,0.1176999940071255,0.24589999520685524,7.620499993208796,0.12399999832268804,8.002200003829785,0,True,on_screen,0.7519578289968591
1787915322243,8,3484,832.6932201051467,755.3562392646712,1318.2179492124355,1126.2242457620375,1,1,main_file,0.5461075639288991,0,0,0.4,0.0,59.16255065453571,29.938711839128576,0.09929999941959977,0.24049999774433672,8.587100004660897,0.11860000086016953,8.95920000039041,0,True,on_screen,0.7519578289968591
1787915322276,9,3485,844.1285685622801,707.917310477141,1175.9911350173888,1000.7321651765685,1,1,main_file,0.5007882308879386,32,0,0.4,0.0,56.34382438068162,29.939253855290318,0.11910000466741621,0.26649999199435115,7.59249999828171,0.09970000246539712,7.969400001456961,0,True,on_screen,0.7519578289968591
1787915322323,10,3486,873.9951085448055,656.289508732974,1085.3923270756138,897.3993682434901,1,1,main_file,0.3735108502523746,79,0,0.4,0.0,52.811068180963105,29.935414497794522,0.09690001024864614,0.2401999954599887,8.346100003109314,0.12399999832268804,8.721799997147173,0,True,on_screen,0.7519578289968591
