timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality,head_pitch,head_yaw,head_pose_shifted,is_blinking,total_blinks,blink_rate_bpm
1789397338026,1,747,1112.015348121332,1822.963439460578,1112.015348121332,1822.963439460578,-1,-1,off_screen,0.0,0,0,0.2,0.0,0.0,14.991903348645524,59.287700001732446,0.5387999990489334,9.122799994656816,0.7371000101557001,10.41869999608025,0,True,gaze_outside_screen,0.5154208007592227,-0.96992163375225,5.894692952395567,False,False,0,0.0
1789397338047,2,748,1070.3015614805822,1772.329658896801,1087.9378852897057,1793.737299430459,2,1,terminal,0.18997130626225622,0,0,0.4,0.0,48.11555431009944,15.00569161067996,0.14470001042354852,0.30300000798888505,9.199500011163764,0.9654000023147091,10.492999994312413,0,True,on_screen,0.5154208007592227,-0.9734241435112381,5.659879075404637,False,False,0,0.0
1789397338110,3,749,900.1062253870379,1560.5164817483674,956.4557233578382,1630.482727052995,2,0,terminal,0.12726877264970926,62,0,0.4,0.0,44.88492906697929,15.0068351024748,0.1436000020476058,0.2806999982567504,9.073100009118207,0.7041000062599778,10.07630000822246,0,True,on_screen,0.5154208007592227,-0.8063051966413468,5.567450970820693,False,False,0,0.0
1789397338174,4,750,881.5530494842357,1303.7671371696363,904.0238516463164,1401.7818141346438,2,0,terminal,0.2310589045715945,127,0,0.4,0.0,41.955581561521925,15.007642041401994,0.11569999333005399,0.2722000062931329,8.769699998083524,0.830000004498288,9.887599997455254,0,True,on_screen,0.5154208007592227,-0.7890156275874745,5.743235253529725,False,False,0,0.0
1789397338239,5,751,1113.9539999685924,1000.1115784473672,1050.9749554719097,1120.6126491535501,1,1,main_file,0.2099036345760419,0,0,0.6,0.0,39.30563518175946,15.008363235545582,0.30519999563694,0.258100000792183,8.285000003525056,0.8617999992566183,9.41640000382904,0,True,on_screen,0.5154208007592227,-0.6143665516543706,6.059731280532691,False,False,0,0.0
1789397338303,6,752,1227.3930587421437,917.2010345629583,1174.4676277610733,978.2245189401358,1,1,main_file,0.510961234586738,63,0,0.6,0.0,36.93651768733961,15.00928137434637,0.1576000067871064,0.29919999360572547,7.913099994766526,0.712199995177798,8.937399994465522,0,True,on_screen,0.5154208007592227,-0.4451507582689942,6.47393092376082,False,False,0,0.0
1789397338366,7,753,1314.2990945169322,797.8455896061386,1272.3496544901745,851.9592684063377,1,1,main_file,0.6918980509777363,126,0,0.6,0.0,34.825019229297475,15.010333657889188,0.09050000517163426,0.21159999596420676,7.941200005006976,0.676800002111122,8.841000002576038,0,True,on_screen,0.5154208007592227,-0.44596496654529005,6.791293860084011,False,False,0,0.0
1789397338446,8,754,1338.5522501823202,724.234391874338,1318.6914714746765,762.5518548339379,1,1,main_file,0.6761279455001958,207,0,0.6,0.0,32.59141515400301,15.00634925801832,0.11100000119768083,0.22479999461211264,7.793900003889576,0.6997000018600374,8.728400003747083,0,True,on_screen,0.5154208007592227,-0.34993353911085023,6.873941550071047,False,False,0,0.0
1789397338511,9,755,1337.4059850056733,702.4190969027968,1329.074455336046,729.189648859171,1,1,main_file,0.640187260366559,271,0,0.6,0.0,30.87444350231515,15.00680313046215,0.14890001330059022,0.24789999588392675,8.023899994441308,0.7196999940788373,9.001599988550879,0,True,on_screen,0.5154208007592227,-0.28763188934246386,6.762385379430181,False,False,0,0.0
1789397338574,10,756,1362.6836885690977,651.7242876376376,1352.600918599182,674.9638960040977,1,1,main_file,0.573505976483392,334,0,0.6,0.0,29.36857693410218,15.007377495759666,0.10560000373516232,0.2542000001994893,9.241399995516986,0.9698000067146495,10.482599987881258,0,True,on_screen,0.5154208007592227,-0.31113720124071165,5.438407850793327,False,False,0,0.0
