timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality
1787915469357,1,496,2725.5347727447565,1648.5959632646445,2725.5347727447565,1648.5959632646445,2,2,terminal,0.3678069387593702,0,0,0.2,0.0,0.0,29.965345319786035,16.67029999953229,0.2874999918276444,8.934400000725873,0.11480000102892518,9.34969999070745,0,True,on_screen,0.7466669232320249
1787915469389,2,497,2731.897364899012,1647.4581968931243,2727.4435503910327,1648.2546333531882,2,2,terminal,0.36498666787965983,31,0,0.2,0.0,31.74038901392736,29.967827878575918,0.12880000576842576,0.31659999513067305,9.248699992895126,0.25460000324528664,9.841999999480322,0,True,on_screen,0.7466669232320249
1787915469421,3,498,2703.508330173254,1656.4294344281432,2720.262984325699,1650.7070736756746,2,2,terminal,0.374688588979491,63,0,0.2,0.0,31.727375929194277,29.970810597040117,0.13939999917056412,0.2793000021483749,9.453499995288439,0.17210000078193843,9.92170000972692,0,True,on_screen,0.7466669232320249
1787915469453,4,499,2698.007388441624,1658.0045143758932,2713.5863055604764,1652.8963058857398,2,2,terminal,0.38365568859480625,95,0,0.2,0.0,31.670058419607603,29.974822290595334,0.14769998961128294,0.2766999969026074,8.524099990609102,0.1429999974789098,8.960999999544583,0,True,on_screen,0.7466669232320249
1787915469485,5,500,2053.390054063251,2444.358258965206,2515.5274301113086,1890.3348918095794,-1,-1,off_screen,0.0,0,0,0.4,0.0,31.606156301149774,29.97238188877139,0.2089000045089051,0.28199999360367656,10.911799996392801,0.24730000586714596,11.455999992904253,0,True,gaze_outside_screen,0.7466669232320249
1787915469517,6,501,925.2781575192705,4007.771267342064,2038.4526483336972,2525.5658044693246,-1,-1,off_screen,0.0,32,0,0.4,0.0,31.588060217365975,29.977561884668198,0.14479999663308263,0.3104999923380092,9.660099996835925,0.12239998613949865,10.10889999452047,0,True,gaze_outside_screen,0.7466669232320249
1787915469549,7,502,690.6956400275966,3811.176448798332,1634.125545841867,2911.248997768027,-1,-1,off_screen,0.0,64,0,0.4,0.0,31.557372538950137,29.982195652436385,0.155999994603917,0.29760001052636653,8.490500011248514,0.11019999510608613,8.910799995646812,0,True,gaze_outside_screen,0.7466669232320249
1787915469581,8,503,861.7173439647503,2781.8990712305167,1402.4030852787319,2872.4440198067737,-1,-1,off_screen,0.0,96,0,0.4,0.0,31.46369090470949,29.982608537249238,0.11609999637585133,0.258400003076531,8.986600005300716,0.11690000246744603,9.375400011776946,0,True,gaze_outside_screen,0.7466669232320249
1787915469613,9,504,950.1361048484446,2012.295764173663,1266.7229911496456,2614.39954311684,-1,-1,off_screen,0.0,128,0,0.4,0.0,31.449673050832015,29.981431500073885,0.3546999942045659,0.3036999987671152,11.03710000461433,0.10900000052060932,11.462800001027063,0,True,gaze_outside_screen,0.7466669232320249
1787915469645,10,505,1036.1761501732633,1364.3813343541317,1197.558938856731,2239.394080488027,-1,-1,off_screen,0.0,160,0,0.4,0.0,31.43182632425862,29.985288623637075,0.2888000017264858,0.2545000024838373,10.297600005287677,0.10979999206028879,10.67190000321716,0,True,gaze_outside_screen,0.7466669232320249
1787915469677,11,506,1064.8335403123535,1065.8847165537832,1157.7413192934177,1887.3412713077537,-1,-1,off_screen,0.0,192,0,0.4,0.0,31.460497925951543,29.988577493067545,0.12579999747686088,0.25019999884534627,10.266199999023229,0.1145999995060265,10.643700006767176,0,True,gaze_outside_screen,0.7466669232320249
