timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality
1787907787935,1,1509,2465.9954096656543,1364.7946373468562,2465.9954096656543,1364.7946373468562,2,2,terminal,0.6494133215394939,0,0,0.2,0.0,0.0,39.48197864838878,15.233700003591366,0.4521999944699928,12.9764999874169,0.15199999324977398,13.595499985967763,0,True,on_screen,0.6240530657755917
1787907787952,2,1510,2470.1027065653157,1370.237054474645,2467.2275987355524,1366.4273624851928,2,2,terminal,0.6485470975213902,16,0,0.2,0.0,59.6833203366529,39.4930561464836,0.1618999958736822,0.31069999386090785,10.950199997751042,0.1615999935893342,11.44100000965409,0,True,on_screen,0.6240530657755917
1787907787984,3,1511,2477.291763936896,1378.9831976065188,2470.2468482959557,1370.1941130215905,2,2,terminal,0.6460633177851351,49,0,0.2,0.0,56.83866074139958,39.48489825720773,0.21830000332556665,0.31620000663679093,12.17279999400489,0.14670001110062003,12.652399993385188,0,True,on_screen,0.6240530657755917
1787907788000,4,1512,2480.3093298192775,1381.7893145023654,2473.265592752952,1373.672673465823,2,2,terminal,0.6431399039475791,65,0,0.2,0.0,57.39072484914116,39.49568420576105,0.13580000086221844,0.29710000671911985,11.033799994038418,0.14390000433195382,11.484699993161485,0,True,on_screen,0.6240530657755917
1787907788032,5,1513,2487.7787597830456,1385.1266185804434,2477.6195428619803,1377.108857000209,2,2,terminal,0.6375214409132226,97,0,0.2,0.0,54.74933467955805,39.48793208471453,0.16269998741336167,0.3281999961473048,11.53949998843018,0.16060000052675605,12.042300004395656,0,True,on_screen,0.6240530657755917
1787907788048,6,1514,2487.1243338305253,1385.7078666216764,2480.4709801525437,1379.688559886649,2,2,terminal,0.6339227350104358,113,0,0.2,0.0,55.58880815770125,39.496395186968385,0.14600000577047467,0.36949999048374593,12.76690000668168,0.16589999722782522,13.314199997694232,0,True,on_screen,0.6240530657755917
1787907788080,7,1515,2489.144042907051,1387.7823628776116,2483.072898978896,1382.1167007839376,2,2,terminal,0.6305797691029269,144,0,0.2,0.0,53.16057228715766,39.489644900193404,0.1618999958736822,0.32389999250881374,12.674600002355874,0.23459999647457153,13.247800001408905,0,True,on_screen,0.6240530657755917
1787907788096,8,1516,2487.368626026502,1388.5815049911953,2484.3616170931778,1384.056142046115,2,2,terminal,0.6293175047861802,161,0,0.2,0.0,54.09752431803986,39.500420258673714,0.1627000019652769,0.35480000951793045,11.54399999359157,0.19049999536946416,12.105999994673766,0,True,on_screen,0.6240530657755917
1787907788128,9,1517,2487.160533232912,1402.9251126120917,2485.2012919350977,1389.7168332159079,2,2,terminal,0.6308681493505472,193,0,0.2,0.0,51.81763295107341,39.49363227660929,0.1883000077214092,0.3645999968284741,11.484199989354238,0.2060999977402389,12.072699988493696,0,True,on_screen,0.6240530657755917
1787907788160,10,1518,2490.657559560316,1413.588180510215,2486.838172222663,1396.8782374041998,2,2,terminal,0.6312494659073691,225,0,0.2,0.0,49.78732216057093,39.48684180204403,0.15859999984968454,0.46949999523349106,11.636900002486072,0.15150000399444252,12.27150000340771,0,True,on_screen,0.6240530657755917
