timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality
1787910387640,1,1079,2601.1454918161826,1717.6013213821361,2601.1454918161826,1717.6013213821361,2,2,terminal,0.4764895575543472,0,0,0.2,0.0,0.0,39.508110561486475,11.1956999899121,0.5345000099623576,12.518600007751957,0.33290000283159316,13.617400007206015,0,True,on_screen,0.7593817515001096
1787910387654,2,1080,2605.741886887515,1714.8219893739856,2602.524410337582,1716.767521779691,2,2,terminal,0.4759102317856363,13,0,0.2,0.0,72.00720065753721,39.489127981258,9.303400001954287,0.4861000052187592,12.12610000220593,0.23710000095888972,12.86779998918064,0,True,on_screen,0.7593817515001096
1787910387676,3,1081,2611.2301237485794,1710.1181374419418,2605.1361243608812,1714.7727064783662,2,2,terminal,0.4753035924288035,36,0,0.2,0.0,69.23502165401608,39.49276630800269,0.1674999948590994,0.31970000418368727,12.469299996155314,0.2783000090857968,13.088799998513423,0,True,on_screen,0.7593817515001096
1787910387693,4,1082,2613.3393620990314,1709.6021322022084,2607.597095682326,1713.2215341955189,2,2,terminal,0.47425821745704155,52,0,0.2,0.0,68.50124701821068,39.50549013673738,0.17469999147579074,0.3716999926837161,12.71949999500066,0.31709999893791974,13.429400001768954,0,True,on_screen,0.7593817515001096
1787910387725,5,1083,2623.4267584235095,1699.349951563456,2612.345994504681,1709.0600594058997,2,2,terminal,0.47355534410451794,84,0,0.2,0.0,64.7822573832509,39.49645355034672,0.2982000005431473,0.33799999800976366,12.489599990658462,0.23320000036619604,13.076899995212443,0,True,on_screen,0.7593817515001096
1787910387741,6,1084,2627.71905071501,1693.1695152280586,2616.9579113677796,1704.2928961525472,2,2,terminal,0.47352750129189325,100,0,0.2,0.0,64.46034032423506,39.50552667011711,0.17749999824445695,0.33490000350866467,15.25229999970179,0.2449999883538112,15.849399991566315,0,True,on_screen,0.7593817515001096
1787910387772,7,1085,2637.749417931466,1686.6049001839224,2623.1953633368853,1698.9864973619597,2,2,terminal,0.471735828592986,131,0,0.2,0.0,61.17218773217081,39.50075156640832,0.17590000061318278,0.3429999924264848,12.320100009674206,0.13719999697059393,12.815099995350465,0,True,on_screen,0.7593817515001096
1787910387804,8,1086,2648.3613347098158,1678.7564840590228,2630.7451547487644,1692.9174933710785,2,2,terminal,0.4686469180903887,163,0,0.2,0.0,58.17485040357306,39.49213578844998,0.145500001963228,0.31119999766815454,11.618099990300834,0.13380000018514693,12.076400002115406,0,True,on_screen,0.7593817515001096
1787910387822,9,1087,2651.494173590271,1676.4662044340675,2636.9698604012165,1687.9821066899751,2,2,terminal,0.46562605272629054,181,0,0.2,0.0,58.137779012715754,39.50378104970539,0.31209998996928334,0.3480999876046553,11.482100002467632,0.1402000052621588,11.984200013102964,0,True,on_screen,0.7593817515001096
1787910387852,10,1088,2662.122755406581,1671.3480548488992,2644.5157289028257,1682.9918911376521,2,2,terminal,0.46044715563987715,211,0,0.2,0.0,55.59434757154054,39.492693985918315,0.17159999697469175,0.34329999471083283,13.81509999919217,0.27879999834112823,14.453099996899255,0,True,on_screen,0.7593817515001096
