timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality,head_pitch,head_yaw,head_pose_shifted,is_blinking,total_blinks,blink_rate_bpm
1789812457393,1,1393,1490.830526953509,887.6636361477174,1490.830526953509,887.6636361477174,1,1,main_file,0.9075927373222707,0,0,0.2,0.0,0.0,30.002652888806125,42.84949996508658,0.2901999978348613,14.715900004375726,0.7874000002630055,15.80870000179857,0,True,on_screen,0.6577763963274916,-3.222138227281647,-1.8853927749246506,False,False,0,0.0
1789812457408,2,1394,1489.819435582062,887.9653327879392,1490.7091959889353,887.6998397445441,1,1,main_file,0.9078161254363337,15,0,0.2,0.0,62.564910893741754,29.99500568094931,10.406100016552955,0.27789996238425374,10.625900002196431,0.7556999917142093,11.670999985653907,0,True,on_screen,0.6577763963274916,-3.2158825024482383,-1.9021595235998585,False,False,0,0.0
1789812457428,3,1395,1490.5281593693894,886.5269114660518,1490.6874715945899,887.5590883511251,1,1,main_file,0.9077944667610128,35,0,0.2,0.0,61.33602133742197,30.004870984321858,0.11389999417588115,0.3036000416614115,8.78879998344928,0.7220999686978757,9.827799978666008,0,True,on_screen,0.6577763963274916,-3.1913394470390415,-1.935053026827687,False,False,0,0.0
1789812457460,4,1396,1501.9395768605962,880.0904067782361,1492.182186359731,886.5669585799203,1,1,main_file,0.9048060791389538,67,0,0.2,0.0,58.32006351170513,30.00395248343314,0.14380004722625017,0.2766000106930733,11.087300023064017,1.1272999690845609,12.504999991506338,0,True,on_screen,0.6577763963274916,-3.1779421323497274,-2.0161876156271434,False,False,0,0.0
1789812457492,5,1397,1502.359986493096,879.8193566164096,1493.4218722197036,885.7450809017112,1,1,main_file,0.9023193572980419,99,0,0.2,0.0,55.60918501523336,30.006471324077292,0.13179995585232973,0.3165999660268426,8.856800035573542,0.6975999567657709,9.885500010568649,0,True,on_screen,0.6577763963274916,-3.149147400186024,-2.0308304197884204,False,False,0,0.0
1789812457525,6,1398,1511.5962973664489,870.106629564871,1497.4593608273758,882.270964465878,1,1,main_file,0.8937664333386909,132,0,0.2,0.0,53.10321277663604,30.00727541204365,0.16739999409765005,0.3100999747402966,8.218900009524077,0.6867999909445643,9.229200019035488,0,True,on_screen,0.6577763963274916,-3.130658271318339,-2.009073563269673,False,False,0,0.0
1789812457556,7,1399,1518.2494935549164,862.5360973658198,1502.9093795249823,877.0975778358053,1,1,main_file,0.8817244302348859,163,0,0.2,0.0,51.01856267768085,30.009249069360152,0.09869999485090375,0.248699972871691,7.538100006058812,0.6861999863758683,8.486900012940168,0,True,on_screen,0.6577763963274916,-3.1104627773070206,-2.005716628325967,False,False,0,0.0
1789812457588,8,1400,1536.4234039798837,850.3710140470924,1515.7542772247675,866.8541056382254,1,1,main_file,0.8539175660811571,195,0,0.2,0.0,49.03924741223272,30.010197743888803,0.09280000813305378,0.24210003903135657,7.414499996230006,0.6424999446608126,8.310000004712492,0,True,on_screen,0.6577763963274916,-3.115060064678943,-2.0006400864713765,False,False,0,0.0
1789812457620,9,1401,1538.3619999843506,847.257462989262,1521.9225059577611,861.5074116990357,1,1,main_file,0.8400903780487445,226,0,0.2,0.0,47.239023519200984,30.010729767702454,0.16160000814124942,0.29550003819167614,7.660200004465878,0.6176999886520207,8.584799943491817,0,True,on_screen,0.6577763963274916,-3.09528792337818,-2.027038333408774,False,False,0,0.0
1789812457652,10,1402,1543.1163610160152,840.2436243304838,1527.7236486953952,855.6871272190006,1,1,main_file,0.8263713510872193,259,0,0.2,0.0,45.66267536539359,30.01174628068032,0.09509996743872762,0.24560000747442245,7.6858000247739255,0.6111999973654747,8.553100051358342,0,True,on_screen,0.6577763963274916,-3.0912578488257623,-2.010843336694492,False,False,0,0.0
1789812457685,11,1403,1553.2049956636365,836.336323215485,1535.1273883346828,850.0646491439021,1,1,main_file,0.8101945993223538,292,0,0.2,0.0,44.15697335882961,30.01141334264614,0.13110000872984529,0.2806999837048352,8.80390004022047,0.6220000213943422,9.718500019516796,0,True,on_screen,0.6577763963274916,-3.0843830636145526,-2.01494018274039,False,False,0,0.0
1789812457716,12,1404,1557.6234535158962,828.4885845658787,1541.5053155270075,843.947554093411,1,1,main_file,0.7951492902819254,323,0,0.2,0.0,42.93138413762944,30.013594811696162,0.09239994687959552,0.23300002794712782,7.4201999814249575,0.6264999974519014,8.291900041513145,0,True,on_screen,0.6577763963274916,-3.116802974298764,-1.9651625808989723,False,False,0,0.0
1789812457750,13,1405,1574.669306103338,791.1427167389403,1559.729004542779,814.9311746483185,1,1,main_file,0.7405245160616465,357,0,0.2,0.0,41.61421476994968,30.01333158009943,0.22620003437623382,0.23959996178746223,7.543899992015213,0.6225000252015889,8.41829995624721,0,True,on_screen,0.6577763963274916,-3.11475336969346,-1.935837625929555,False,False,0,0.0
1789812457782,14,1406,1558.6993717372063,800.7844440220738,1559.5862670404554,812.9700201622693,1,1,main_file,0.7387064454573606,389,0,0.2,0.0,40.54641239656477,30.013323973335353,0.15059998258948326,0.24690001737326384,8.487799961585552,0.6764000281691551,9.424099989701062,0,True,on_screen,0.6577763963274916,-3.1084626818067136,-1.9302468517577709,False,False,0,0.0
1789812457828,15,1407,1546.0326938275546,799.5321472821179,1557.1406671166833,810.5452971482617,1,1,main_file,0.7396099166836501,435,0,0.2,0.0,38.65558483354439,30.005524471303886,0.1317000132985413,0.26590004563331604,7.841699989512563,0.5944999866187572,8.71329999063164,0,True,on_screen,0.6577763963274916,-3.1566873034277876,-1.84655103062905,False,False,0,0.0
1789812457860,16,1408,1530.5204287827441,812.4818340467219,1550.6106683912383,811.0203335968497,1,1,main_file,0.7492078654712495,467,0,0.2,0.0,37.907165317235055,30.005452915709544,0.11500000255182385,0.2673999988473952,9.108199970796704,0.6845000316388905,10.07189997471869,0,True,on_screen,0.6577763963274916,-3.1996841521741715,-1.8414062019494846,False,False,0,0.0
1789812457892,17,1409,1513.9043062663873,818.7390704915861,1538.2194081863895,813.6260093374781,1,1,main_file,0.7689280367330693,499,0,0.2,0.0,37.270286691812494,30.007570192267455,0.09849999332800508,0.24020002456381917,7.498999999370426,0.6279000081121922,8.37840000167489,0,True,on_screen,0.6577763963274916,-3.220055732889932,-1.8536316116392924,False,False,0,0.0
1789812457924,18,1410,1505.304334368482,820.0796202840332,1528.2218253427895,815.5862209546688,1,1,main_file,0.7842877795627552,531,0,0.2,0.0,36.66679386478343,30.0084929781473,0.19689998589456081,0.23529998725280166,7.345599995460361,0.6532000261358917,8.243400021456182,0,True,on_screen,0.6577763963274916,-3.2207155344269722,-1.8535110364790208,False,False,0,0.0
1789812457957,19,1411,1504.796757418441,817.277050771387,1523.1158886482415,815.9547692992583,1,1,main_file,0.7911758459671991,564,0,0.2,0.0,36.009398117907146,30.007627530608318,0.10649999603629112,0.5508000031113625,8.478799951262772,0.6511000101454556,9.692899999208748,0,True,on_screen,0.6577763963274916,-3.2353256005914943,-1.8631802103236128,False,False,0,0.0
1789812457988,20,1412,1503.702786650366,819.6187919382771,1519.5020846884192,816.6368374985194,1,1,main_file,0.7964883945061074,595,0,0.2,0.0,35.66064947363293,30.009807830056133,0.10710000060498714,0.22880005417391658,7.939300034195185,0.6716999923810363,8.850500045809895,0,True,on_screen,0.6577763963274916,-3.2395461873346676,-1.8743585570686083,False,False,0,0.0
1789812458020,21,1413,1504.7616435102964,822.8072760540726,1517.2328586886474,817.5867493384063,1,1,main_file,0.8004620009512169,627,0,0.2,0.0,35.198796009171424,30.009369167169623,0.11449999874457717,0.24610001128166914,9.545199980493635,0.8448000298812985,10.647200047969818,0,True,on_screen,0.6577763963274916,-3.2632041055790637,-1.8730373527726767,False,False,0,0.0
1789812458053,22,1414,1507.2733987906013,818.5830800887527,1516.037723500882,817.7063090284479,1,1,main_file,0.8020549786215682,660,0,0.2,0.0,34.77268864270554,30.011102834591338,0.10230002226307988,0.25509996339678764,8.06310004554689,0.5953999934718013,8.924899972043931,0,True,on_screen,0.6577763963274916,-3.2640200439150533,-1.837486809677003,False,False,0,0.0
1789812458084,23,1415,1511.935920383742,815.1246596207856,1515.5455071268252,817.3965110995284,1,1,main_file,0.8022405461729741,691,0,0.2,0.0,34.45262325148449,30.011178899047973,0.11070002801716328,0.28330000350251794,9.552799980156124,0.6040000007487833,10.452999966219068,0,True,on_screen,0.6577763963274916,-3.2759222214602914,-1.8404618826140864,False,False,0,0.0
1789812458117,24,1416,1509.9813649867865,811.8980018234423,1514.8778100700206,816.7366899863981,1,1,main_file,0.8021694974841707,724,0,0.2,0.0,34.11901969468746,30.012793334705815,0.09999994654208422,0.27060002321377397,8.14439996611327,0.6703000399284065,9.09850001335144,0,True,on_screen,0.6577763963274916,-3.269964175291733,-1.8313785876935698,False,False,0,0.0
1789812458149,25,1417,1522.6933542017332,796.6068577241609,1516.4552182518405,812.6738939002915,1,1,main_file,0.7949509878291503,756,0,0.2,0.0,33.81945440453813,30.013556638493522,0.1471999567002058,0.2812999882735312,8.177699986845255,0.6154000293463469,9.087000042200089,0,True,on_screen,0.6577763963274916,-3.2605336494693518,-1.878857381968136,False,False,0,0.0
1789812458181,26,1418,1529.345767694032,788.0570726726711,1519.7379187266483,806.4049872804018,1,1,main_file,0.782778281624614,788,0,0.2,0.0,33.50401535489115,30.014441391354286,0.11419999646022916,0.22680003894492984,7.590099994558841,0.5750999553129077,8.401900005992502,0,True,on_screen,0.6577763963274916,-3.263582997929092,-1.9263854937392169,False,False,0,0.0
1789812458228,27,1419,1526.6657017011123,774.0587870971893,1521.814854168027,796.7076613390337,1,1,main_file,0.7672091807921735,835,0,0.2,0.0,32.28486023623222,30.005756410893476,0.12399995466694236,0.25400001322850585,7.57110002450645,0.6460000295192003,8.48240003688261,0,True,on_screen,0.6577763963274916,-3.2543177446763423,-1.9710091526831257,False,False,0,0.0
1789812458260,28,1420,1540.6031718835168,735.7197381867757,1532.3731946934631,762.4347013895763,1,1,main_file,0.7072611015417105,867,0,0.2,0.0,32.188774507037905,30.006631507829706,0.08909997995942831,0.222100003156811,7.666899997275323,0.6057000136934221,8.504900033585727,0,True,on_screen,0.6577763963274916,-3.2441268813007014,-2.0019867675213927,False,False,0,0.0
1789812458293,29,1421,1539.0056420365072,729.7715970716112,1534.3757271692562,752.5727418784263,1,1,main_file,0.6907503023154076,900,0,0.2,0.0,32.04905607403433,30.006065152789006,0.145800004247576,0.29550003819167614,9.24959999974817,0.6889999494887888,10.248499980662018,0,True,on_screen,0.6577763963274916,-3.235664501173119,-2.016750471898465,False,False,0,0.0
1789812458324,30,1422,1546.0359010164143,729.0058514231399,1537.1965184454311,746.8715165044114,1,1,main_file,0.6795782680345055,930,0,0.2,0.0,32.005625991565246,30.00730829895689,0.12620002962648869,0.25969999842345715,9.042499994393438,0.6665000109933317,9.980799979530275,0,True,on_screen,0.6577763963274916,-3.2448947472099974,-2.01270922118962,False,False,0,0.0
1789812458356,31,1423,1550.9869663164254,724.9213960551449,1540.4890166955975,741.6308793731,1,1,main_file,0.6686443460154244,963,0,0.2,0.0,31.936826041966455,30.008792998124928,0.1050999853760004,0.215300009585917,8.117399993352592,0.6849999772384763,9.029100008774549,0,True,on_screen,0.6577763963274916,-3.2407496885029445,-2.022562289922339,False,False,0,0.0
1789812458388,32,1424,1549.531346660456,731.9898164314711,1541.6680305073617,740.3737978009337,1,1,main_file,0.6656526992373233,995,0,0.2,0.0,31.845563638124656,30.008683952595774,0.12340000830590725,0.27190003311261535,9.346199978608638,0.6631999858655035,10.292000020854175,0,True,on_screen,0.6577763963274916,-3.2292087089674055,-2.075667349605376,False,False,0,0.0
