timestamp_ms,frame_index,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,face_detected,calibration_quality
1787900259214,1,2220.5999544312954,1187.255484967757,2220.5999544312954,1187.255484967757,2,2,terminal,0.5671468834404325,0,0,0.2,0.0,0.023739482399972162,True,0.23970357487958105
1787900259363,2,2235.041632504101,1186.7779775831968,2224.932457853137,1187.112232752389,2,2,terminal,0.5598663087336868,148,0,0.2,0.0,0.04731019845065705,True,0.23970357487958105
1787900259472,3,2228.2423823211966,1185.2488942284258,2225.9254351935547,1186.5532311952,2,2,terminal,0.5571672736636317,257,0,0.2,0.0,0.07078534694929729,True,0.23970357487958105
1787900259575,4,2093.5247751251154,1205.329655647258,2186.205237173023,1192.1861585308172,2,2,terminal,0.626999156320591,361,0,0.2,0.0,0.09416095441935497,True,0.23970357487958105
1787900259676,5,853.9711116871,1000.6149694836108,1786.5349995272459,1134.7148018166554,2,2,terminal,0.05480886998839629,462,0,0.2,0.0,0.11741692463064542,True,0.23970357487958105
1787900259780,6,698.9582775448268,889.0709950456773,1460.2619829325201,1061.0216597853619,1,1,main_file,0.5904080488305713,0,0,0.4,0.0,0.14056435951719473,True,0.23970357487958105
1787900259874,7,159.56840865790375,697.0465183477029,1070.053910650135,951.8291173540641,1,0,sidebar,0.22653391848107318,0,0,0.6,0.0,0.1636273237423878,True,0.23970357487958105
1787900259972,8,119.57444987268316,646.1759066560933,784.9100724168995,860.1331541446729,1,0,sidebar,0.8907068533927351,97,0,0.6,0.0,0.18657660808960935,True,0.23970357487958105
1787900260069,9,1092.162039586382,684.4986839747462,877.0856625677443,807.4428130936948,1,0,sidebar,0.6389414353219205,194,0,0.6,0.0,0.20942407842511415,True,0.23970357487958105
1787900260163,10,1715.367992684128,667.5020593882214,1128.5703616026594,765.4605869820527,1,1,main_file,0.14380412677282506,0,1,0.8,0.0,0.23218431206338924,True,0.23970357487958105
1787900260260,11,1742.6578255572756,553.550267229096,1312.796600789044,701.8874910561658,1,1,main_file,0.40581006694416577,96,1,0.8,0.0,0.2548385730337176,True,0.23970357487958105
1787900260356,12,1416.5951316838357,1579.826680098126,1343.9361600574816,965.2692477687538,1,1,main_file,0.7068871251805777,192,1,0.8,0.0,0.27738863808809616,True,0.23970357487958105
1787900260450,13,1337.0540291252712,1340.7319534246762,1341.8715207778184,1077.9080594655304,1,1,main_file,0.4872235695575309,286,1,0.8,0.0,0.29984935754306763,True,0.23970357487958105
1787900260545,14,1390.9907279676395,1057.6246970694408,1356.6072829347647,1071.8230507467035,1,1,main_file,0.5179764296383635,381,1,0.8,0.0,0.3222122487332949,True,0.23970357487958105
1787900260645,15,1759.662456066246,799.3744959860003,1477.5238348742091,990.0884843184925,1,1,main_file,0.7536997864490794,481,1,0.8,0.0,0.34442161727048215,True,0.23970357487958105
1787900260746,16,1876.5020716707277,743.6718168939451,1597.2173059131646,916.1634840911283,1,1,main_file,0.6011227867306836,582,1,0.8,0.0,0.3665231518450837,True,0.23970357487958105
1787900260844,17,1782.2157232491716,666.4744069010967,1652.7168311139665,841.2567609341188,1,1,main_file,0.4430493672396494,680,1,0.8,0.0,0.38857207230655116,True,0.23970357487958105
1787900260943,18,1760.1612825458838,617.7029941370863,1684.9501665435414,774.190630895009,1,1,main_file,0.30502021551689884,779,1,0.8,0.0,0.4105079392419859,True,0.23970357487958105
1787900261042,19,1634.516810671077,464.3640541985971,1669.820159781802,681.2426578860853,0,1,main_file,0.22903695458436446,878,1,0.8,0.0,0.4323425186647204,True,0.23970357487958105
1787900261143,20,174.984704653356,994.9734201164205,1221.369523243268,775.3618865551858,1,1,main_file,0.36485340307576475,979,1,0.8,0.0,0.45404566802194096,True,0.23970357487958105
1787900261246,21,1324.0534823643927,2105.126498207092,1252.1747109796054,1174.2912700507577,2,1,terminal,0.4000487655435636,0,1,1.0,0.0,0.4756402101197349,True,0.23970357487958105
