timestamp_ms,frame_index,capture_frame_id,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,capture_age_ms,preprocess_ms,inference_ms,mapping_metrics_ms,total_processing_ms,dropped_frames_total,face_detected,gaze_status,calibration_quality,head_pitch,head_yaw,head_pose_shifted,is_blinking,total_blinks,blink_rate_bpm
1789454571533,1,2094,1038.0244769239516,853.1331472443624,1038.0244769239516,853.1331472443624,1,1,main_file,0.28503419531348195,0,0,0.2,0.0,0.0,29.99619185881758,3.482300000541727,0.4695999996329192,15.542199999799777,1.1359999998603598,17.167199999676086,0,True,on_screen,0.7894669775287911,4.915339208416867,26.366540225910267,False,False,0,0.0
1789454571563,2,2095,1070.4969988441464,677.5199927374659,1060.755242268088,730.2039390895349,1,1,main_file,0.2659152458729853,29,0,0.2,0.0,33.5456774718986,29.99953047512904,0.21840000044903718,0.40859999990061624,11.37029999972583,1.1147000004712027,12.923700000101235,0,True,on_screen,0.7894669775287911,4.536237832495715,26.534707740295882,False,False,0,0.0
1789454571593,3,2096,1084.163364105681,568.3421362873435,1077.140927554403,616.9006771280009,0,1,main_file,0.14889228083262374,59,0,0.2,0.0,33.49913665203346,30.00098645419096,0.15860000075917924,0.3858999998556101,11.291800000435614,0.9350000000267755,12.635499999305466,0,True,on_screen,0.7894669775287911,4.307917961015335,26.576814421268406,False,False,0,0.0
1789454571627,4,2097,1080.4806084157954,568.7582031394203,1078.5745219270075,596.2349959872864,0,1,main_file,0.17441136452175365,94,0,0.2,0.0,33.12497949854941,29.99941855204203,0.23160000000643777,0.5357999998523155,14.563100000486884,0.8848999996189377,16.015999999581254,0,True,on_screen,0.7894669775287911,4.179784158146759,26.610263893526984,False,False,0,0.0
1789454571658,5,2098,1082.8226471810633,570.6207365574085,1079.5902739404112,590.1104742202075,0,1,main_file,0.1826261223660287,125,0,0.2,0.0,33.05997286166541,30.001655582303727,0.11720000020432053,0.3921000006812392,11.834799999633105,1.0972000000037951,13.342399999601184,0,True,on_screen,0.7894669775287911,4.066055618870706,26.68225204961069,False,False,0,0.0
1789454571693,6,2099,1063.63122979004,600.6848060847454,1076.702685579547,592.023766603401,0,1,main_file,0.17653252293268273,160,0,0.2,0.0,32.61296452267527,29.999128010101032,0.2113999998982763,0.4088000005140202,15.99019999957818,1.1728999998013023,17.591400000128488,0,True,on_screen,0.7894669775287911,3.9574052329688243,26.735400225164355,False,False,0,0.0
1789454571722,7,2100,1062.679136653532,635.758128928386,1070.9616775421978,609.9278882305805,0,1,main_file,0.14861393148717306,188,0,0.2,0.0,32.71100265334277,30.0023225226471,0.12320000041654566,0.3955000001951703,12.19799999944371,1.09119999979157,13.704299999517389,0,True,on_screen,0.7894669775287911,3.909387531245528,26.726227497792156,False,False,0,0.0
1789454571754,8,2101,1057.2123769289722,660.2606186341842,1064.6000800483469,633.2160961621344,1,1,main_file,0.1863777773165749,220,0,0.2,0.0,32.60198772003668,30.003231666504718,0.23630000032426324,0.40549999994254904,11.786299999585026,1.0779000003822148,13.288399999510148,0,True,on_screen,0.7894669775287911,3.848876666828801,26.733892937073364,False,False,0,0.0
1789454571787,9,2102,1049.3792363842197,661.4923180777331,1060.1624642189622,641.4599893875529,1,1,main_file,0.188258198426974,253,0,0.2,0.0,32.38420633124944,30.002644343435655,0.2413000001979526,0.506600000335311,13.540900000407419,1.0524000008445,15.121100000214938,0,True,on_screen,0.7894669775287911,3.9182372563834065,26.382997598076496,False,False,0,0.0
1789454571819,10,2103,1051.3518640670775,595.7680231383498,1056.5100132546472,622.5182983209518,0,1,main_file,0.1147578699265196,286,0,0.2,0.0,32.23280570507407,30.003753294051695,0.1534000002720859,0.4822999999305466,11.316400000396243,1.6482000000905828,13.467200000377488,0,True,on_screen,0.7894669775287911,3.829247375595884,26.115223747274946,False,False,0,0.0
1789454571852,11,2104,1021.0730343447913,565.0575593209603,1035.4795010282483,588.417514020145,0,1,main_file,0.12230174107849356,319,0,0.2,0.0,32.08646714655147,30.003469222429715,0.2653999999893131,0.4946999997628154,13.059099999736645,1.3812000006510061,14.960500000597676,0,True,on_screen,0.7894669775287911,3.727061543203007,25.81915486123831,False,False,0,0.0
1789454571898,12,2105,1014.0000672343826,559.1507445053654,1028.4494856139156,578.8387773182781,0,1,main_file,0.12176247310603483,365,0,0.2,0.0,31.043602376630584,29.998532437590768,0.17159999970317585,0.4718999998658546,12.084400000276219,1.0833999995156773,13.662899999872025,0,True,on_screen,0.7894669775287911,3.2588723366945374,24.98250119541207,False,False,0,0.0
