timestamp_ms,frame_index,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,face_detected,calibration_quality
1787900542003,1,2930.247413089139,1136.3234200700524,2930.247413089139,1136.3234200700524,-1,-1,off_screen,0.0,0,0,0.2,0.0,0.024783857029467272,True,0.3495740135529508
1787900542167,2,2797.3271462754315,1208.0453586520825,2890.3713330450264,1157.8400016446612,-1,-1,off_screen,0.0,164,0,0.2,0.0,0.04936744105549873,True,0.3495740135529508
1787900542300,3,2835.5948596236203,1355.1863534126126,2873.9383910186043,1217.0439071750466,-1,-1,off_screen,0.0,296,0,0.2,0.0,0.07381139361179655,True,0.3495740135529508
1787900542429,4,2593.6782764281315,1258.9044513473716,2789.860356641462,1229.602070426744,-1,-1,off_screen,0.0,425,0,0.2,0.0,0.09810400272743977,True,0.3495740135529508
1787900542558,5,1093.4257975323019,1312.2673443144945,2280.9299889087138,1254.401652593069,2,2,terminal,0.5426375738031701,0,0,0.4,0.0,0.1222416797337845,True,0.3495740135529508
1787900542686,6,1044.6050397403217,1148.8038434602836,1910.032504158196,1222.7223098532334,2,2,terminal,0.43422957795945905,128,0,0.4,0.0,0.14623737057348699,True,0.3495740135529508
1787900542816,7,373.4849226274485,962.7618373990846,1449.0682296989717,1144.7341681169887,2,1,terminal,0.5570716341100088,257,0,0.4,0.0,0.1700688799710342,True,0.3495740135529508
1787900542946,8,382.80827079941287,661.3821995186843,1129.190242029104,999.7285775374972,1,1,main_file,0.17618562512222158,0,0,0.6,0.0,0.19375149484363718,True,0.3495740135529508
1787900543073,9,1111.797399994479,543.5785734862217,1123.9723894187164,862.8835763221145,1,1,main_file,0.19692605195131863,126,0,0.6,0.0,0.2173027167059144,True,0.3495740135529508
1787900543203,10,1406.4921471893294,445.96331073135264,1208.7283167499002,737.807496644886,1,1,main_file,0.28708442620070995,256,0,0.6,0.0,0.2406877768175066,True,0.3495740135529508
1787900543334,11,1519.8027965940273,431.0008840541611,1302.0506607031382,645.7655128676686,0,1,main_file,0.4557222373256987,388,0,0.6,0.0,0.2639231464182151,True,0.3495740135529508
1787900543462,12,1509.953927682654,497.3249667278944,1364.4216407969927,601.2333490257363,0,1,main_file,0.639443695049497,515,0,0.6,0.0,0.2870412411491838,True,0.3495740135529508
1787900543591,13,1516.2374087683634,529.8091508666017,1409.9663711884039,579.8060895779959,0,1,main_file,0.7369513479548246,644,0,0.6,0.0,0.31000570121943055,True,0.3495740135529508
1787900543730,14,1476.993918350932,619.7156032663304,1430.0746353371621,591.7789436844962,0,1,main_file,0.7167818472094947,783,0,0.6,0.0,0.33274268930184275,True,0.3495740135529508
1787900543857,15,1548.6912963510606,595.4844452375046,1465.6596336413315,592.8905941503987,0,1,main_file,0.7078190451948994,911,0,0.6,0.0,0.3554281959547,True,0.3495740135529508
1787900543997,16,1564.2497859013765,621.4325803385276,1495.2366793193448,601.4531900068373,0,1,main_file,0.6632638706231591,1050,0,0.6,0.0,0.37788753888862797,True,0.3495740135529508
