timestamp_ms,frame_index,gaze_x_raw,gaze_y_raw,gaze_x_smooth,gaze_y_smooth,grid_row,grid_col,section,confidence,dwell_time_ms,nrevisit_count,transition_rate,iris_size_delta,fps_actual,capture_fps,inference_ms,face_detected,gaze_status,calibration_quality
1787904488926,1,2507.1435985167286,1485.3726297854776,2507.1435985167286,1485.3726297854776,2,2,terminal,0.5914120820659547,0,0,0.2,0.0,0.0,29.98555439665077,13.615700008813292,True,on_screen,0.6304622668265731
1787904489163,2,1809.448476536918,1599.874482979912,2297.8350619227854,1519.7231857438078,2,2,terminal,0.843039448424146,236,0,0.2,0.0,4.208060148625858,29.972735579946427,14.06940000015311,True,on_screen,0.6304622668265731
1787904489334,3,1648.8532382412152,1590.770376845883,2103.1405148183144,1541.0373430744303,2,2,terminal,0.5586480636285317,407,0,0.2,0.0,4.3721073384400855,29.982334148493045,14.990600000601262,True,on_screen,0.6304622668265731
1787904489494,4,763.0415098388977,1606.4133984699824,1701.1108133244893,1560.650159693096,2,1,terminal,0.43537941617299636,567,0,0.2,0.0,4.561391816601687,29.974212622439694,12.744799998472445,True,on_screen,0.6304622668265731
1787904489648,5,815.0690062456683,1397.8073419022871,1435.298271200843,1511.7973143558531,2,1,terminal,0.8587629406047488,721,0,0.2,0.0,4.75668976199206,29.979241883601553,11.31500001065433,True,on_screen,0.6304622668265731
1787904489783,6,1556.7696289469752,1389.0506009463923,1471.7396785246824,1474.9733003330148,2,1,terminal,0.907292228752471,856,0,0.2,0.0,5.017662267258725,29.978058009040343,12.420300001394935,True,on_screen,0.6304622668265731
1787904489913,7,1706.2825469017455,1441.370868120831,1542.1025390378013,1464.8925706693594,2,1,terminal,0.7937064666463298,986,0,0.2,0.0,5.28815562909599,29.979799314458983,11.089300009189174,True,on_screen,0.6304622668265731
1787904490053,8,1255.3507672131013,1476.229245127356,1456.0770074903912,1468.2935730067584,2,1,terminal,0.936120944283379,1126,0,0.2,0.0,5.473507272043705,29.977310195234907,11.914700007764623,True,on_screen,0.6304622668265731
1787904490193,9,1266.6805161459113,1083.750713680394,1399.2580600870472,1352.930715208849,2,1,terminal,0.8113008588329157,1266,0,0.2,0.0,5.640899390686577,29.97551609929973,10.877199994865805,True,on_screen,0.6304622668265731
1787904490326,10,1274.7081035531069,965.346546884895,1361.893073126865,1236.6554647116627,2,1,terminal,0.5724096099922733,1399,0,0.2,0.0,5.828510513493452,29.97578238749841,10.541399999056011,True,on_screen,0.6304622668265731
1787904490455,11,1209.9664270002354,862.5231803125029,1316.315079288876,1124.4157793919146,1,1,main_file,0.49700576860211165,0,0,0.4,0.0,6.020637289850605,29.97740279243692,10.161300000618212,True,on_screen,0.6304622668265731
1787904490575,12,1215.467546602766,689.2479194244253,1286.060819483043,993.8654214016678,1,1,main_file,0.646079037420263,120,0,0.4,0.0,6.248943002950781,29.970584106016457,10.157600001548417,True,on_screen,0.6304622668265731
1787904490692,13,1223.9128265352592,675.47888604446,1267.4164215987078,898.3494607945054,1,1,main_file,0.6612100125586937,236,0,0.4,0.0,6.478042268645034,29.97624583102386,9.611899993615225,True,on_screen,0.6304622668265731
1787904490804,14,1241.1075717443593,661.5390592385844,1259.5237666424032,827.306340327729,1,1,main_file,0.6180743540433937,348,0,0.4,0.0,6.726955021299067,29.983689073480672,9.240200000931509,True,on_screen,0.6304622668265731
1787904490912,15,1787.491207811371,671.5917994495735,1417.9139989930936,780.5919780642822,1,1,main_file,0.7616312382982537,457,0,0.4,0.0,6.981189821007416,29.981085303457846,9.20969998696819,True,on_screen,0.6304622668265731
1787904491017,16,1870.4602640994722,691.7564411251307,1553.6778785250071,753.9413169825367,1,1,main_file,0.6366892173796667,562,0,0.4,0.0,7.233358578047355,29.9797137603343,8.16080000367947,True,on_screen,0.6304622668265731
1787904491119,17,1737.1549620735302,836.3490780683561,1608.721003589564,778.6636453082824,1,1,main_file,0.5920572124130953,664,0,0.4,0.0,7.493737487090504,29.979039494064185,8.69109999621287,True,on_screen,0.6304622668265731
1787904491225,18,1667.5704400924465,724.5833538459292,1626.3758345404287,762.4395578695763,1,1,main_file,0.5452928074527473,769,0,0.4,0.0,7.6876140504141075,29.97675010573311,9.497599996393546,True,on_screen,0.6304622668265731
1787904491336,19,1466.055318651482,723.1854277865934,1578.2796797737446,750.6633188446815,1,1,main_file,0.6004873704740006,881,0,0.4,0.0,7.819047308553884,29.98430346055417,9.133899991866201,True,on_screen,0.6304622668265731
1787904491444,20,1177.6828545867347,743.3101297132607,1458.1006322176415,748.4573621052552,1,1,main_file,0.7004135802755063,989,0,0.4,0.0,7.957668780287371,29.981270612945497,9.681099996669218,True,on_screen,0.6304622668265731
1787904491556,21,959.946729973191,703.8998013274728,1308.6544615443063,735.0900938719204,1,1,main_file,0.5861603389012053,1101,0,0.4,0.0,8.058220296610143,29.977580136461782,9.308900000178255,True,on_screen,0.6304622668265731
1787904491667,22,777.2801315669022,571.5119697870961,1149.242162551085,686.0166566464732,1,1,main_file,0.29135006145277875,1212,0,0.4,0.0,8.149318507992337,29.98511357067336,8.509300008881837,True,on_screen,0.6304622668265731
1787904491777,23,622.3844768772984,499.0796219736078,991.1848568489489,629.9355462446135,0,0,sidebar,0.02790180827406996,0,0,0.6,0.0,8.24372480066473,29.981452029205208,9.66530000732746,True,on_screen,0.6304622668265731
1787904491885,24,543.5651687456397,445.1579732918109,856.898950417956,574.5022743587728,0,0,sidebar,0.3062239419860323,108,0,0.6,0.0,8.347903761364776,29.97893939916513,9.717500011902303,True,on_screen,0.6304622668265731
1787904491994,25,527.6412575747138,395.7780350707708,758.1216425649833,520.8850025723721,0,0,sidebar,0.5229877193806712,217,0,0.6,0.0,8.42798740831007,29.976221288317163,8.726300002308562,True,on_screen,0.6304622668265731
1787904492097,26,512.0470905970075,392.06576592101146,684.2992769745906,482.23923157696385,0,0,sidebar,0.6794231075516641,319,0,0.6,0.0,8.555501648233836,29.986398617241242,8.166100000380538,True,on_screen,0.6304622668265731
1787904492200,27,546.8304673421179,383.99854014592324,643.0586340848488,452.7670241476516,0,0,sidebar,0.7753069360757534,423,0,0.6,0.0,8.679196907392521,29.974465131258917,8.891199991921894,True,on_screen,0.6304622668265731
1787904492302,28,838.624528001121,422.51264602952824,701.7284022597304,443.6907107122146,0,0,sidebar,0.7035232148617048,525,0,0.6,0.0,8.788615061166686,29.973682581222935,9.148800003458746,True,on_screen,0.6304622668265731
1787904492405,29,1847.6590255269052,415.2325780462615,1045.5075892398827,435.15327091242864,0,1,main_file,0.21170078375210832,0,1,0.8,0.0,8.883834295241986,29.98338428441861,10.330499993870035,True,on_screen,0.6304622668265731
1787904492508,30,2126.5630215616147,419.98841037379975,1369.8242189364023,430.60381275083995,0,1,main_file,0.8045939732434714,102,1,0.8,0.0,8.964293536055656,29.982811951639107,8.974500000476837,True,on_screen,0.6304622668265731
1787904492610,31,2116.8829332552054,439.8975392585153,1593.9418332320433,433.3919307031425,0,1,main_file,0.6652336744158823,204,1,0.8,0.0,9.044755870389125,29.981815407059518,9.68079999438487,True,on_screen,0.6304622668265731
1787904492713,32,2136.823229745522,436.0228932971082,1756.8062521860868,434.1812194813322,0,1,main_file,0.36130170825075625,308,1,0.8,0.0,9.116964965601408,29.98127007611002,8.933600009186193,True,on_screen,0.6304622668265731
1787904492816,33,2138.9682212690586,422.87713533375205,1871.4548429109782,430.7899942370582,0,1,main_file,0.14174791950991728,411,1,0.8,0.0,9.17132623022533,29.980136559280766,9.070900006918237,True,on_screen,0.6304622668265731
1787904492927,34,2196.223013720168,426.9654924624241,1968.8852941537352,429.6426437046679,0,2,ai_agent,0.3281288027292515,0,0,1.0,0.0,9.155459886944685,29.976239377889705,9.950299994670786,True,on_screen,0.6304622668265731
1787904493062,35,2213.0974622734425,463.9627019944906,2042.1489445896473,439.93866119161464,0,2,ai_agent,0.4625786501002017,134,0,1.0,0.0,8.979950244563536,29.974895845594006,12.367500006803311,True,on_screen,0.6304622668265731
1787904493211,36,2244.2051617231323,490.474798773263,2102.7658097296926,455.09950246610913,0,2,ai_agent,0.5630966673738904,283,0,1.0,0.0,8.754163490201853,29.980723012925267,12.557099995319732,True,on_screen,0.6304622668265731
1787904493354,37,2277.2450551826328,564.5438572600485,2155.1095833655745,487.93280890429094,0,2,ai_agent,0.6146637924521678,427,0,1.0,0.0,8.577369319578917,29.977658192460165,12.222200006362982,True,on_screen,0.6304622668265731
1787904493493,38,2268.0345782685586,682.2319946628882,2188.9870818364698,546.2225646318701,0,2,ai_agent,0.5703548776122629,565,0,1.0,0.0,8.43976617101966,29.9761009105845,11.599000004935078,True,on_screen,0.6304622668265731
1787904493636,39,2301.4753777647693,731.5722809728786,2222.7335706149597,601.8274795341727,0,2,ai_agent,0.4992154765194443,708,0,1.0,0.0,8.294899644942097,29.983762913044128,11.683199991239235,True,on_screen,0.6304622668265731
1787904493778,40,2366.432889873993,739.3654940515581,2265.84336639267,643.0888838893883,1,2,second_file,0.4901622463653488,0,0,1.2,0.0,8.167204364328528,29.98077065903845,11.851500006741844,True,on_screen,0.6304622668265731
1787904493930,41,2397.01788651065,745.1946695443588,2305.1957224280636,673.7206195858794,1,2,second_file,0.555816643857832,151,0,1.0,0.0,8.008879749881112,29.974605572237316,12.474599992856383,True,on_screen,0.6304622668265731
1787904494073,42,2418.408520941736,743.4516378399637,2339.159561982165,694.6399250621047,1,2,second_file,0.5910210992930637,294,0,1.0,0.0,7.910915551569153,29.982980728003078,11.00669999141246,True,on_screen,0.6304622668265731
1787904494205,43,2431.5153885288046,741.2086566604677,2366.866309946157,708.6105445416135,1,2,second_file,0.604561930795565,426,0,1.0,0.0,7.875163847696349,29.97270496748686,10.727300003054552,True,on_screen,0.6304622668265731
