window_idx,window_start,window_end,window_seconds,hrv_status,hrv_coverage,rmssd_ms,sdnn_ms,baseline_rmssd_ms,rmssd_ratio,eye_frames_count,on_screen_ratio,face_detected_ratio,mean_dwell_ms,max_dwell_ms,section_transitions,dominant_section,mean_iris_delta,mean_blink_rate_bpm,head_shifted_ratio,cognitive_state,cognitive_load_score,cognitive_state_desc
0,2026-09-19T12:44:16.373564+00:00,2026-09-19T12:44:41.373564+00:00,25.0,ready,0.96046875,36.74350201862158,58.45416091509007,45.177511365921006,0.813,374,0.618,1.0,200.5,864.0,124,off_screen,0.0004,2.3,0.0,CONFUSED,32.0,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
1,2026-09-19T12:44:21.373564+00:00,2026-09-19T12:44:46.373564+00:00,25.0,ready,0.9635787500000151,34.38215085028879,55.865832921731226,45.177511365921006,0.761,374,0.604,1.0,201.6,864.0,122,off_screen,0.0004,2.1,0.0,CONFUSED,33.8,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
2,2026-09-19T12:44:26.373564+00:00,2026-09-19T12:44:51.373564+00:00,25.0,ready,0.9740475000000152,41.085734748645756,54.613787201973366,45.177511365921006,0.909,374,0.58,1.0,196.1,864.0,120,off_screen,0.0004,1.8,0.0,CONFUSED,28.5,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
3,2026-09-19T12:44:31.373564+00:00,2026-09-19T12:44:56.373564+00:00,25.0,ready,0.9518600000000151,44.199153355882316,44.88550984962276,45.177511365921006,0.978,374,0.537,1.0,196.8,944.0,114,off_screen,0.0004,1.3,0.0,CONFUSED,26.0,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
4,2026-09-19T12:44:36.373564+00:00,2026-09-19T12:45:01.373564+00:00,25.0,ready,0.9504146875000151,42.09510093140018,44.30710618188479,45.177511365921006,0.932,373,0.499,1.0,219.8,944.0,102,off_screen,0.0003,1.0,0.032,CONFUSED,27.7,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
5,2026-09-19T12:44:41.373564+00:00,2026-09-19T12:45:06.373564+00:00,25.0,ready,0.9492818750000152,41.09950294080619,43.816407796828635,45.177511365921006,0.91,374,0.513,1.0,218.9,944.0,111,off_screen,0.0003,1.0,0.037,CONFUSED,28.5,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
6,2026-09-19T12:44:46.373564+00:00,2026-09-19T12:45:11.373564+00:00,25.0,ready,0.9404537500000152,39.33230275735213,46.81121545460652,45.177511365921006,0.871,374,0.503,1.0,210.6,944.0,113,off_screen,0.0003,0.0,0.037,CONFUSED,29.9,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
7,2026-09-19T12:44:51.373564+00:00,2026-09-19T12:45:16.373564+00:00,25.0,ready,0.9451412500000151,36.301619885183705,43.10222962258706,45.177511365921006,0.804,374,0.516,1.0,223.1,944.0,122,off_screen,0.0002,0.0,0.037,CONFUSED,32.4,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
8,2026-09-19T12:44:56.373564+00:00,2026-09-19T12:45:21.373564+00:00,25.0,insufficient_data,0.8765865625000151,,,45.177511365921006,,303,0.545,1.0,220.1,799.0,106,off_screen,0.0003,0.0,0.046,CONFUSED,25.3,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
9,2026-09-19T12:45:01.373564+00:00,2026-09-19T12:45:26.373564+00:00,25.0,gap,0.6765865625000151,,,45.177511365921006,,229,0.572,1.0,203.2,796.0,85,off_screen,0.0003,0.0,0.009,CONFUSED,25.2,Transisi area tinggi / mata bolak-balik dan fiksasi lama (indikasi debugging intensif)
