phase,window_start,window_end,window_seconds,rr_count,rr_pairs,rmssd_ms,sdnn_ms,status,reason,accepted_rr_seconds,coverage,data_age_seconds
baseline,2026-09-19T12:42:10.904564+00:00,2026-09-19T12:44:16.373564+00:00,125.46900000000096,135,132,45.177511365921006,65.16112571059794,ready,target_reached,120.2451171875,0.9583651514517457,0.10414062500058208
task,2026-09-19T12:44:16.373564+00:00,2026-09-19T12:44:41.373564+00:00,25,28,27,36.74350201862158,58.45416091509007,ready,,24.01171875,0.96046875,0.37928124999962165
task,2026-09-19T12:44:21.373564+00:00,2026-09-19T12:44:46.373564+00:00,25,28,27,34.38215085028879,55.865832921731226,ready,,24.08946875000038,0.9635787500000151,0.9105312499996217
task,2026-09-19T12:44:26.373564+00:00,2026-09-19T12:44:51.373564+00:00,25,29,28,41.085734748645756,54.613787201973366,ready,,24.35118750000038,0.9740475000000152,0.6488124999996217
task,2026-09-19T12:44:31.373564+00:00,2026-09-19T12:44:56.373564+00:00,25,27,26,44.199153355882316,44.88550984962276,ready,,23.79650000000038,0.9518600000000151,1.2034999999996217
task,2026-09-19T12:44:36.373564+00:00,2026-09-19T12:45:01.373564+00:00,25,28,27,42.09510093140018,44.30710618188479,ready,,23.76036718750038,0.9504146875000151,1.2396328124996217
task,2026-09-19T12:44:41.373564+00:00,2026-09-19T12:45:06.373564+00:00,25,28,27,41.09950294080619,43.816407796828635,ready,,23.73204687500038,0.9492818750000152,1.2679531249996217
task,2026-09-19T12:44:46.373564+00:00,2026-09-19T12:45:11.373564+00:00,25,29,28,39.33230275735213,46.81121545460652,ready,,23.51134375000038,0.9404537500000152,1.4886562499996217
task,2026-09-19T12:44:51.373564+00:00,2026-09-19T12:45:16.373564+00:00,25,29,28,36.301619885183705,43.10222962258706,ready,,23.62853125000038,0.9451412500000151,1.3714687499996217
task,2026-09-19T12:44:56.373564+00:00,2026-09-19T12:45:21.373564+00:00,25,27,26,,,insufficient_data,stale_or_missing_data,21.91466406250038,0.8765865625000151,3.0853359374996217
task,2026-09-19T12:45:01.373564+00:00,2026-09-19T12:45:26.373564+00:00,25,21,20,,,gap,rr_gap;insufficient_coverage;stale_or_missing_data,16.91466406250038,0.6765865625000151,8.085335937499622
task,2026-09-19T12:45:06.373564+00:00,2026-09-19T12:45:31.373564+00:00,25,22,20,,,insufficient_data,insufficient_coverage,17.24571875000038,0.6898287500000151,0.8264218750009604
task,2026-09-19T12:45:11.373564+00:00,2026-09-19T12:45:36.373564+00:00,25,23,21,,,insufficient_data,insufficient_coverage,17.56896093750038,0.7027584375000151,0.5031796875009604
task,2026-09-19T12:45:16.373564+00:00,2026-09-19T12:45:41.373564+00:00,25,23,21,,,insufficient_data,insufficient_coverage,17.35704687500038,0.6942818750000151,0.7150937500009604
task,2026-09-19T12:45:21.373564+00:00,2026-09-19T12:45:46.373564+00:00,25,25,24,,,insufficient_data,insufficient_coverage,19.6357421875,0.7854296875,1.5217343750009604
task,2026-09-19T12:45:26.373564+00:00,2026-09-19T12:45:51.373564+00:00,25,29,28,39.5628357401458,40.92925730105742,ready,,22.59545312499904,0.9038181249999616,2.4045468750009604
task,2026-09-19T12:45:31.373564+00:00,2026-09-19T12:45:56.373564+00:00,25,25,23,,,insufficient_data,insufficient_coverage,19.58568749999904,0.7834274999999615,2.102187500000582
task,2026-09-19T12:45:36.373564+00:00,2026-09-19T12:46:01.373564+00:00,25,19,17,,,gap,rr_gap;insufficient_coverage;stale_or_missing_data,14.58568749999904,0.5834274999999616,7.102187500000582
task,2026-09-19T12:45:41.373564+00:00,2026-09-19T12:46:06.373564+00:00,25,13,11,,,gap,rr_gap;insufficient_coverage;stale_or_missing_data,9.58568749999904,0.38342749999996156,12.102187500000582
task,2026-09-19T12:45:46.373564+00:00,2026-09-19T12:46:11.373564+00:00,25,7,5,,,gap,rr_gap;insufficient_coverage;insufficient_pairs;stale_or_missing_data,4.58568749999904,0.18342749999996158,17.102187500000582
task,2026-09-19T12:45:51.373564+00:00,2026-09-19T12:46:16.373564+00:00,25,3,2,,,gap,rr_gap;insufficient_coverage;insufficient_pairs;stale_or_missing_data,1.990234375,0.079609375,22.102187500000582
task,2026-09-19T12:45:56.373564+00:00,2026-09-19T12:46:21.373564+00:00,25,7,6,,,insufficient_data,insufficient_coverage;insufficient_pairs,5.75,0.23,0.8892968750005821
task,2026-09-19T12:46:01.373564+00:00,2026-09-19T12:46:26.373564+00:00,25,14,13,,,insufficient_data,insufficient_coverage,11.103515625,0.444140625,0.5357812500005821
task,2026-09-19T12:46:06.373564+00:00,2026-09-19T12:46:31.373564+00:00,25,20,19,,,insufficient_data,insufficient_coverage,15.6328125,0.6253125,1.006484375000582
task,2026-09-19T12:46:11.373564+00:00,2026-09-19T12:46:36.373564+00:00,25,27,26,53.84632466886484,66.9988799279112,ready,,20.359375,0.814375,1.279921875000582
task,2026-09-19T12:46:16.373564+00:00,2026-09-19T12:46:41.373564+00:00,25,31,30,54.15007508314662,87.95415444038947,ready,,24.157578124999418,0.9663031249999767,0.8424218750005821
task,2026-09-19T12:46:21.373564+00:00,2026-09-19T12:46:46.373564+00:00,25,31,30,53.74939437643306,86.13286488428905,ready,,23.990585937499418,0.9596234374999767,1.009414062500582
task,2026-09-19T12:46:26.373564+00:00,2026-09-19T12:46:51.373564+00:00,25,30,29,51.94807356907847,97.34586089872843,ready,,23.473984374999418,0.9389593749999767,1.526015625000582
task,2026-09-19T12:46:31.373564+00:00,2026-09-19T12:46:56.373564+00:00,25,29,28,56.328576322152934,96.12428399360923,ready,,23.461289062499418,0.9384515624999767,1.538710937500582
task,2026-09-19T12:46:36.373564+00:00,2026-09-19T12:47:01.373564+00:00,25,27,26,49.15306543106985,62.82136897567152,ready,,22.922226562499418,0.9168890624999767,2.077773437500582
task,2026-09-19T12:46:41.373564+00:00,2026-09-19T12:47:06.373564+00:00,25,27,26,37.2312451966958,52.19084248328783,ready,,23.130234374999418,0.9252093749999767,1.869765625000582
task,2026-09-19T12:46:46.373564+00:00,2026-09-19T12:47:11.373564+00:00,25,27,26,39.81352475241784,52.50677147640908,ready,,23.011093749999418,0.9204437499999767,1.988906250000582
task,2026-09-19T12:46:51.373564+00:00,2026-09-19T12:47:16.373564+00:00,25,28,27,38.24142495125564,52.79570938577628,ready,,22.738632812499418,0.9095453124999767,2.261367187500582
task,2026-09-19T12:46:56.373564+00:00,2026-09-19T12:47:21.373564+00:00,25,28,27,34.60231847163652,51.984857378198456,ready,,22.962265624999418,0.9184906249999767,2.037734375000582
task,2026-09-19T12:47:01.373564+00:00,2026-09-19T12:47:26.373564+00:00,25,28,27,35.184370183893705,42.90458435050887,ready,,22.926132812499418,0.9170453124999767,2.073867187500582
task,2026-09-19T12:47:06.373564+00:00,2026-09-19T12:47:31.373564+00:00,25,27,25,34.98493415280042,44.36714509094627,ready,,22.250351562499418,0.8900140624999767,0.5740937500013388
task,2026-09-19T12:47:11.373564+00:00,2026-09-19T12:47:36.373564+00:00,25,27,25,34.62654325165297,46.91995781488519,ready,,22.564804687499418,0.9025921874999767,0.2596406250013388
task,2026-09-19T12:47:16.373564+00:00,2026-09-19T12:47:41.373564+00:00,25,27,25,37.8750169206336,41.52462868537833,ready,,22.590195312499418,0.9036078124999767,0.23425000000133878
task,2026-09-19T12:47:21.373564+00:00,2026-09-19T12:47:46.373564+00:00,25,27,25,38.902014076635545,44.78269914526503,ready,,22.378281249999418,0.8951312499999767,0.4461640625013388
task,2026-09-19T12:47:26.373564+00:00,2026-09-19T12:47:51.373564+00:00,25,27,26,44.31311428078452,48.40363134484229,ready,,23.005859375,0.920234375,0.19128125000133878
task,2026-09-19T12:47:31.373564+00:00,2026-09-19T12:47:56.373564+00:00,25,30,29,43.37020411717795,47.91418600071396,ready,,24.75110156249866,0.9900440624999465,0.24889843750133878
